P,mu_g,Tgran,seed,chi,chi_sd,ncon,nframe
5.0,0.3,0.00075,1,0.038468781046856866,0.02255159851945055,5438,9
5.0,0.3,0.00075,2,0.03123223619790806,0.018495527705210176,6365,9
5.0,0.3,0.00075,3,0.024947136475400346,0.01909716815859696,6776,9
5.0,0.3,0.00075,4,0.033175031313596864,0.018515226924056674,6117,9
5.0,0.3,0.0005,1,0.04141490255538816,0.01683946082703321,4244,9
5.0,0.3,0.0005,2,0.028466814760596655,0.01916998600718912,6117,9
5.0,0.3,0.0005,3,0.023652146571976545,0.016469625150085578,6039,9
5.0,0.3,0.0005,4,0.0317930733883958,0.018299357667298344,4740,9
5.0,0.3,0.0015,1,0.040367831503265034,0.003643288046434652,6887,9
5.0,0.3,0.0015,2,0.03903344286006676,0.0024836468976748667,6823,9
5.0,0.3,0.0015,3,0.040325788002417894,0.003916990021449393,6800,9
5.0,0.3,0.0015,4,0.03995956879550023,0.0031978495595394625,6863,9
5.0,0.3,0.0025,1,0.043429527980675856,0.001875789521706036,6950,9
5.0,0.3,0.0025,2,0.04320522460978073,0.002073520196042399,6918,9
5.0,0.3,0.0025,3,0.04423977748706939,0.0032594980251068593,6914,9
5.0,0.3,0.0025,4,0.04152440610802889,0.0019446719728985025,6928,9
5.0,0.3,0.006500000000000001,1,0.05730583253113102,0.0018628920806650527,7172,9
5.0,0.3,0.006500000000000001,2,0.06061124526581316,0.002087060678272516,7188,9
5.0,0.3,0.006500000000000001,3,0.058892766417631054,0.004286799170719268,7137,9
5.0,0.3,0.006500000000000001,4,0.05791892125919947,0.0030486389603131565,7120,9
5.0,0.3,0.015,1,0.08181362232296155,0.0036812068089748804,7266,9
5.0,0.3,0.015,2,0.08348727899415044,0.004851271360017788,7312,9
5.0,0.3,0.015,3,0.08214223183238652,0.00427284360865048,7275,9
5.0,0.3,0.015,4,0.08116811877325279,0.0032447937987483276,7277,9
5.0,0.3,0.03,1,0.11536032515877054,0.0038086007687107275,7230,9
5.0,0.3,0.03,2,0.1151194658268157,0.0035292910614481265,7259,9
5.0,0.3,0.03,3,0.11593498476352122,0.0027523014047934917,7249,9
5.0,0.3,0.03,4,0.11384508263059846,0.003068389349840058,7255,9
5.0,0.3,0.06,1,0.15630474761674573,0.0072730770322737785,6973,9
5.0,0.3,0.06,2,0.15835735022271688,0.003846935535597295,6958,9
5.0,0.3,0.06,3,0.1609185105869338,0.0033294572770542694,6923,9
5.0,0.3,0.06,4,0.1568580457404258,0.0034484213147927844,6947,9
5.0,0.3,0.125,1,0.2090776989522011,0.004219428807343125,6209,9
5.0,0.3,0.125,2,0.20490282037606147,0.004930437169331142,6245,9
5.0,0.3,0.125,3,0.20834734274328487,0.0045355557322831665,6227,9
5.0,0.3,0.125,4,0.20976836062259221,0.0036209094398513397,6200,9
5.0,0.5,0.00075,1,0.02155595211019767,0.014027190332378361,6526,9
5.0,0.5,0.00075,2,0.022435198318912254,0.011776437692046287,5576,9
5.0,0.5,0.00075,3,0.024210107841502147,0.013321810976954685,5422,9
5.0,0.5,0.00075,4,0.022549916539105576,0.01431042273604388,5899,9
5.0,0.5,0.0005,1,0.01849666456717304,0.005090649269375568,4947,9
5.0,0.5,0.0005,2,0.013419984011525462,0.00988039807802775,5894,9
5.0,0.5,0.0005,3,0.01786780409694151,0.012925269125185464,5787,9
5.0,0.5,0.0005,4,0.01693310092878447,0.009072899197438335,5040,9
5.0,0.5,0.0015,1,0.026804300102482224,0.0030836576472480057,6269,9
5.0,0.5,0.0015,2,0.027235979379348005,0.004353787332647162,6283,9
5.0,0.5,0.0015,3,0.025421799465698842,0.0021709453110196637,6303,9
5.0,0.5,0.0015,4,0.026474502905669786,0.0013257209091511529,6320,9
5.0,0.5,0.0025,1,0.0280952000495953,0.0015342999532436169,6368,9
5.0,0.5,0.0025,2,0.028609633866832924,0.0019841354584805653,6432,9
5.0,0.5,0.0025,3,0.028991245734473772,0.0014600755483397227,6382,9
5.0,0.5,0.0025,4,0.029847792673865496,0.002266576956686723,6398,9
5.0,0.5,0.006500000000000001,1,0.0379593068450979,0.002132598896809662,6606,9
5.0,0.5,0.006500000000000001,2,0.037802467855512126,0.0030530043075384415,6554,9
5.0,0.5,0.006500000000000001,3,0.0393679598530465,0.0017789574252389886,6655,9
5.0,0.5,0.006500000000000001,4,0.037075933557782444,0.0016375372925072178,6653,9
5.0,0.5,0.015,1,0.05004775651418467,0.0012369877730418774,6875,9
5.0,0.5,0.015,2,0.0521694470199903,0.0021021979826920433,6839,9
5.0,0.5,0.015,3,0.05198647739989261,0.0023170731567967342,6875,9
5.0,0.5,0.015,4,0.05036900989603595,0.0032152204372387226,6844,9
5.0,0.5,0.03,1,0.07088866285165824,0.002758843198549325,6988,9
5.0,0.5,0.03,2,0.07146885107465689,0.0031544040689551445,6963,9
5.0,0.5,0.03,3,0.07126604131837362,0.0028826439736418727,7009,9
5.0,0.5,0.03,4,0.07063128193587744,0.0021878525818696194,6978,9
5.0,0.5,0.06,1,0.09818384007272139,0.00398280654370266,6880,9
5.0,0.5,0.06,2,0.0989501121199286,0.00483834415779163,6853,9
5.0,0.5,0.06,3,0.09921076583015864,0.003284629106606025,6794,9
5.0,0.5,0.06,4,0.0989625912322155,0.002200658859949337,6816,9
5.0,0.5,0.125,1,0.13747039719654605,0.004049788711606586,6216,9
5.0,0.5,0.125,2,0.13463005315829418,0.0031147675067700093,6203,9
5.0,0.5,0.125,3,0.13806128103850837,0.0043019920324792234,6166,9
5.0,0.5,0.125,4,0.13493738332235392,0.004640872889730818,6215,9
50.0,0.05,0.0075,1,0.07702930209719325,0.002511148974136612,8552,9
50.0,0.05,0.0075,2,0.08009404134549136,0.006485008348154923,8587,9
50.0,0.05,0.0075,3,0.07898304189597156,0.005190951490491115,8547,9
50.0,0.05,0.0075,4,0.07928591116461083,0.005061366303923037,8535,9
50.0,0.05,0.005,1,0.07057251341051271,0.0030770429893365544,8550,9
50.0,0.05,0.005,2,0.07221220423618452,0.003768342329974675,8522,9
50.0,0.05,0.005,3,0.07266529483236596,0.007915669207793005,8535,9
50.0,0.05,0.005,4,0.07169285299805835,0.004130143401876404,8507,9
50.0,0.05,0.015,1,0.09932364756504994,0.004367732095115894,8602,9
50.0,0.05,0.015,2,0.0999177586974696,0.004492731736209053,8610,9
50.0,0.05,0.015,3,0.10011474930960246,0.004498285552075925,8589,9
50.0,0.05,0.015,4,0.10104731388309356,0.0033823078388745655,8584,9
