mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,E
0.1,0.0015,1,0.1869525919733016,0.159054689694246,0.2069166051140052,0.007933888520796517,10.279922512618256,0.717674884624126,0.6600590100500399,7334.6,0.09296316560229938,1000000.0
0.1,0.0015,2,0.18805864381996149,0.16025974801918888,0.20770029088298156,0.008157248928747987,10.282453545016793,0.7133188028338533,0.6627883371838033,7339.74,0.0940804595366358,1000000.0
0.1,0.001,1,0.19598764219635398,0.1646503484625163,0.21793737012565345,0.009387564942701059,10.171116993764532,0.716346171070327,0.6608965509641008,7299.18,0.0888375613608698,1000000.0
0.1,0.001,2,0.19411374762886113,0.16395062767758156,0.21501794043414196,0.009258926317396957,10.269284178186405,0.716685604766004,0.6606913733425602,7295.28,0.08964250435045523,1000000.0
0.1,0.003,1,0.17143066874334367,0.14677962316071494,0.19033088326139633,0.005750831759232157,10.158564396027169,0.7055632893010357,0.6676554837137998,7395.84,0.10834126438150882,1000000.0
0.1,0.003,2,0.1735516867579937,0.14598430873328613,0.19574803553988768,0.005371028401757136,10.129161155820723,0.7077829400098337,0.6662610634853108,7386.96,0.10937993023303819,1000000.0
0.1,0.005,1,0.15708243883609443,0.13447884750649738,0.1755672296353353,0.004118801023080404,10.095846958627552,0.6951773462282722,0.6741986041035376,7424.14,0.1276708032114498,1000000.0
0.1,0.005,2,0.1533247905839061,0.13845102961751188,0.16437392862143985,0.003824622769164844,10.065916648606827,0.6923129224460465,0.6760109784261285,7438.82,0.12721600084292958,1000000.0
0.1,0.008,1,0.1493138478391674,0.13533243584292273,0.16056515396348714,0.002730104611187738,9.96966772199375,0.6921922736024818,0.6760853786577082,7402.44,0.15435557704865752,1000000.0
0.1,0.008,2,0.15375134708323335,0.13995462520196716,0.1648794495063538,0.002668618231067485,10.198825012803322,0.6929692954388739,0.6755931644916565,7415.08,0.15294595236659136,1000000.0
0.1,0.013,1,0.14199865966643727,0.13030866415277306,0.1517818051452884,0.0019068459077912158,10.165426742097475,0.6863296840810292,0.6797947499000108,7365.24,0.18536731017343464,1000000.0
0.1,0.013,2,0.13638953750516872,0.12435039884064626,0.14643302487314538,0.001995652536599529,10.172193806220413,0.6878088997590752,0.6788623030223083,7360.84,0.1843166855890563,1000000.0
0.1,0.02,1,0.130379536349792,0.12780327034510472,0.13153332391270708,0.0014224759919888356,10.271983586980268,0.6861934157764914,0.6798843064775083,7260.5,0.21691196014877462,1000000.0
0.1,0.02,2,0.13211435474283018,0.12535864316436107,0.1374508717354595,0.001419196921305014,10.261719943566222,0.690261945566332,0.6773076836627822,7246.94,0.2190015254985164,1000000.0
0.1,0.03,1,0.1246339426338361,0.12828691048732999,0.11987403021463647,0.0011069428007888225,10.484695702626043,0.6876533798946327,0.678956967093782,7107.18,0.25345297401839106,1000000.0
0.1,0.03,2,0.1191216402191117,0.12121176050103509,0.11588035235727817,0.00115116744208434,10.462288872509273,0.6945470252053326,0.6745925371696075,7100.54,0.2546147326794817,1000000.0
0.3,0.0005,1,0.27132452681515745,0.23143452584418522,0.2704892301158576,0.04072529862043742,11.925156466667877,0.7569072733559709,0.6357856833410543,6375.3,0.05135392807084178,1000000.0
0.3,0.0005,2,0.273704439542189,0.23528134932831105,0.2697695830480646,0.042357944696838505,11.90871952836688,0.7545597094412813,0.6372223244381862,6382.28,0.04866316728391729,1000000.0
0.3,0.0015,1,0.2644936423375101,0.2251050545501477,0.26699786817076493,0.03688436548964851,11.613515736812257,0.7585596753476647,0.6347878426730554,6484.02,0.045698688850015295,1000000.0
0.3,0.0015,2,0.2645141262815153,0.22464650224152535,0.2662600464309105,0.038121705832856394,11.608210023730138,0.7538425223004451,0.637663243673792,6498.28,0.04499508341496116,1000000.0
0.3,0.001,1,0.26392861705417187,0.21808713221437145,0.27123247786603627,0.03853762909339207,11.68567199823174,0.7566476762480184,0.6359513764345095,6438.56,0.04599936021433242,1000000.0
0.3,0.001,2,0.26718959085465455,0.23138148628875643,0.26388746564301657,0.03911023050279257,11.939095968358938,0.7532832178967209,0.6380176157744069,6455.22,0.046147590277210944,1000000.0
0.3,0.003,1,0.25529729632766157,0.2183329595402615,0.259041988598031,0.03321964369653843,11.408459860677118,0.7549396646418569,0.6369951703751585,6621.02,0.04609895793950311,1000000.0
0.3,0.003,2,0.25807834960506904,0.21685016687349115,0.2671472193953844,0.03215931178572842,11.468671401438485,0.7533637764724311,0.6379583055363566,6610.7,0.046754411983805644,1000000.0
0.3,0.005,1,0.24636158006124614,0.2129182407514682,0.2536164881360473,0.02618843021845507,11.26964282127821,0.7479315858589701,0.6413016802606143,6704.04,0.0513738051607932,1000000.0
0.3,0.005,2,0.2435660390155008,0.21276052905265921,0.24755807010877587,0.026813479861636864,11.353932589860147,0.7442146100134014,0.6435975778379337,6683.8,0.05046409466876384,1000000.0
0.3,0.008,1,0.22884080436912504,0.19600159948899917,0.24022625303585407,0.021453757213887772,11.095161405483095,0.7442173554885392,0.643578916853905,6801.64,0.05840059289369304,1000000.0
0.3,0.008,2,0.22588132777160058,0.1993367515040566,0.22983256970876817,0.022593337821035172,11.017184995993683,0.7358561405174834,0.6487484374933515,6813.18,0.057345482954044694,1000000.0
0.3,0.013,1,0.21264915834871267,0.1840916665818838,0.22536839205367248,0.015838259452284367,10.889790653943285,0.7330098112769113,0.6505080570208622,6900.66,0.06940117926965494,1000000.0
0.3,0.013,2,0.21144710198891642,0.1862507425645235,0.22043052568038227,0.016212938072616305,10.927347020879202,0.7277058622217161,0.6538027881262978,6883.3,0.0684241922155473,1000000.0
0.3,0.02,1,0.1922232567326105,0.1768085750267317,0.19688980758827226,0.010748128939707306,10.752590721392496,0.7194652349408682,0.6589382054173112,6949.78,0.082085294332255,1000000.0
0.3,0.02,2,0.18911461093806753,0.17258291016975927,0.19406552500619106,0.011580788776014182,10.824969636198732,0.7217565667644837,0.6575004262299118,6946.3,0.08151527709112762,1000000.0
0.3,0.03,1,0.1701264760178516,0.16267947839242652,0.16942148812847452,0.00815198347161504,10.855985869835225,0.7121303138498755,0.6635237940611041,6938.62,0.09723596917680563,1000000.0
0.3,0.03,2,0.17943819548183723,0.16546055111597668,0.18534119909205082,0.008074639766812193,10.904679340001694,0.7146213693766862,0.6619651524516881,6900.32,0.09787636065680509,1000000.0
1.0,0.0005,1,0.2820085648020642,0.25328368678964425,0.23442913610301658,0.07630430436681725,14.341357072831752,0.7256238111265162,0.6551120551557444,5406.68,0.013119361439112931,1000000.0
1.0,0.0005,2,0.28356798834053554,0.2538060801312626,0.2324619155727973,0.0808679781966697,14.299184277382789,0.7224667440123376,0.6570738815072983,5422.74,0.012839486911072739,1000000.0
1.0,0.0015,1,0.2818407554240285,0.25287496389757635,0.2350279485151682,0.07577860136781082,14.108707016731664,0.7344273006556563,0.6496473599309803,5446.26,0.012870143411842037,1000000.0
1.0,0.0015,2,0.277214986807998,0.24822785698712163,0.23104696836499503,0.07515515122336472,14.0589017665599,0.7311405694233588,0.6516790812246153,5436.54,0.012904114568530467,1000000.0
