mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,kt
1.0,0.0015,2,0.2806108048908601,0.2248719093382033,0.24250949344822198,0.09384020789410612,13.070266514118737,0.7297537825834787,0.6525316296312969,5933.45,0.014116332536498358,200000.0
1.0,0.001,1,0.28482689127156796,0.23236297700219194,0.2427053817767967,0.0945854276046032,13.035364959456526,0.7308962051185308,0.6518286803401286,5903.9,0.01413695105817144,200000.0
1.0,0.001,2,0.28081909042398767,0.22932395207627082,0.23830182855275553,0.09401240277572849,13.0839926872757,0.735250772777939,0.6491184098968866,5924.95,0.013628839016781382,200000.0
1.0,0.003,1,0.2830817112942539,0.22611623843939815,0.24619549821455217,0.09385168330241785,13.10806003637175,0.74269820317056,0.6445155541899,5946.25,0.015431678463057624,200000.0
1.0,0.003,2,0.2869363970475695,0.23992321467436373,0.2437658204232167,0.09018375969613925,12.973230930717472,0.7409625262969513,0.6455887229820674,5989.3,0.016231497985996858,200000.0
1.0,0.005,1,0.280976315398089,0.22714853842991328,0.24932687996136355,0.08547721684407984,12.812824284612773,0.7474809469528363,0.6415699383430502,6042.6,0.016811956109015605,200000.0
1.0,0.005,2,0.28075903384348005,0.218630367954712,0.25608061527214926,0.08680708120155237,12.665464370785838,0.7590714900161587,0.6344651154680758,6039.4,0.017534128112364242,200000.0
1.0,0.008,1,0.2747000360120328,0.2240212709534341,0.24609023622024181,0.0792885665206214,12.493802742942329,0.7582707150371635,0.6349543582751955,6103.7,0.019767531169227248,200000.0
1.0,0.008,2,0.274293216363673,0.2238271398725859,0.25056867097703706,0.07419061640396564,12.447817522211732,0.7593593677830203,0.6342777712292187,6107.2,0.02007269218513875,200000.0
1.0,0.013,1,0.26331301600880075,0.21559961328185612,0.24218607660178493,0.0688403445355018,12.301094603038928,0.7707898354037754,0.627324886550674,6203.95,0.02426073958993344,200000.0
1.0,0.013,2,0.27340774129322243,0.22248651016652476,0.25356722285355,0.07076174242422074,12.284155264639562,0.7593664989686941,0.6342925719856453,6230.0,0.02263587578275112,200000.0
1.0,0.02,1,0.2648647846825634,0.2130879223832932,0.2552602232080881,0.06138142051236366,11.94644225961853,0.7641404874289337,0.6313608759172197,6340.7,0.027442934361910542,200000.0
1.0,0.02,2,0.26641638235918064,0.21322731915551052,0.25600700069988697,0.06359844557831497,11.978686185910437,0.768690612249417,0.6286089975090907,6315.0,0.027580988509035988,200000.0
1.0,0.03,1,0.255656213914973,0.20820282833412965,0.249978328660834,0.05313126839048846,11.658249612740626,0.7699247862994734,0.6278521924589165,6484.85,0.032179640992660095,200000.0
1.0,0.03,2,0.2534283570530395,0.21054803588763255,0.2482422042178169,0.04806647014299297,11.629204093355465,0.766869215044407,0.6297181256580345,6465.95,0.03221665679395477,200000.0
0.1,0.0005,1,0.3136871180586512,0.3005198961732907,0.3254436237036207,0.0014107185428492328,11.140893856741588,0.7461026637848108,0.6442990764491968,7140.75,0.21591718354559522,50000.0
0.1,0.0005,2,0.35946649371230205,0.36598123249456055,0.34977483953470256,0.0031769162101278974,10.013589506563415,0.771366473850349,0.628777667661794,6788.75,0.16096529059620734,50000.0
0.1,0.0015,1,0.18737513315203444,0.13719959753182903,0.2276225980582652,0.009928070075559322,9.608052385857285,0.7189825154102113,0.6592432727236042,7785.5,0.05440460503762055,50000.0
0.1,0.0015,2,0.18807066442128112,0.1409873905892775,0.2262802913009431,0.008873649123656836,9.59412860494558,0.7132933137037045,0.6628083660693578,7790.8,0.0543645415864208,50000.0
0.1,0.001,1,0.19252368578499038,0.14289831634118128,0.2321861687735519,0.00996288673407269,9.577094851190603,0.7251961958185886,0.6553809474921293,7757.95,0.05252689403042834,50000.0
0.1,0.001,2,0.19186409110826813,0.14934885503664236,0.223616306154863,0.010763020283021908,9.62310572259948,0.7149535794055115,0.6617528434106125,7750.25,0.05131483493827858,50000.0
0.1,0.003,1,0.17480028226678251,0.13228914449285298,0.21052829836030593,0.006783120405799417,9.510774308410436,0.7042452814434076,0.6684760197220456,7847.8,0.06337015821274306,50000.0
0.1,0.003,2,0.16990530221929387,0.12912759148762507,0.20380136533794505,0.0068816532573218025,9.502653855876456,0.7074558455411943,0.6664612237294161,7846.7,0.06374293720438064,50000.0
0.1,0.005,1,0.1646881657117745,0.12661366816781927,0.19815398941428816,0.0046086683779146004,9.420269538231697,0.6972997754980823,0.6728525036030168,7897.6,0.07761460931213023,50000.0
0.1,0.005,2,0.16243586363830026,0.12384657116546374,0.19661286766697114,0.004412291052258131,9.419576201989248,0.6996165354628741,0.6713921157608462,7896.65,0.07670195906977999,50000.0
0.1,0.008,1,0.15107260555161844,0.11959890346997318,0.17992044960556908,0.0026258555125065384,9.32914471520683,0.6941543797969121,0.6748413980755484,7942.15,0.0950412903099769,50000.0
0.1,0.008,2,0.14586290327229154,0.10953683193854599,0.1792379582691901,0.0029510213429152425,9.307933143005958,0.6953987648672559,0.6740536643954951,7921.65,0.0964063359806637,50000.0
0.1,0.013,1,0.13506935443973475,0.10899662154900305,0.15920341935800011,0.001938665007257571,9.373954518977914,0.6921994188046098,0.6760783558681148,7958.05,0.11943877471380213,50000.0
0.1,0.013,2,0.13156241357523366,0.10626560193204063,0.1550681268383608,0.001791102232983155,9.334368029850033,0.6887049910327994,0.6782892819993861,7966.0,0.12030985839807973,50000.0
0.1,0.02,1,0.1252431563285399,0.10291184837267313,0.14621109912407518,0.0013633621776217891,9.345813117885958,0.6799078926078993,0.683869146624199,7916.45,0.14772062791906923,50000.0
0.1,0.02,2,0.12649923156290294,0.10296256335349636,0.1486627704081376,0.0013731316430295158,9.34416508359982,0.685116189604723,0.6805668224111114,7921.2,0.1481799941212514,50000.0
0.1,0.03,1,0.1138823047687555,0.09524901280886829,0.1315511889874133,0.0009643996864550664,9.468133073119859,0.6811574156526322,0.6830804676713405,7862.45,0.17684916554600347,50000.0
0.1,0.03,2,0.11221257900821871,0.09684414397199811,0.1268026466222062,0.0007783706611447009,9.4439199684163,0.679641503472962,0.6840436659849389,7872.15,0.175354126774882,50000.0
0.3,0.0005,1,0.3085426926567971,0.34229517127856735,0.297899038503376,-0.023108822683799612,9.215769016044302,0.9834935790930368,0.5085961368769085,4722.714285714285,0.1759407559880529,50000.0
0.3,0.0005,2,0.3331925533605188,0.3843763097454669,0.3027846491762037,-0.020775851837287217,8.968994999274758,0.9859733297113487,0.5080487992800473,4753.0,0.15960693320494435,50000.0
0.3,0.0015,1,0.26604563860554753,0.20559492264034768,0.28497380029014385,0.0415225614971664,10.830037788703013,0.7644699374782676,0.6311704699347425,6957.8,0.02692852925057656,50000.0
0.3,0.0015,2,0.2690349486511523,0.20802088994182708,0.2892596930207869,0.040789319629676433,10.880416872461854,0.7716331670637933,0.626811569294542,6970.45,0.02784916495560403,50000.0
0.3,0.001,1,0.27285473068087873,0.21499104358495078,0.2869259015838383,0.04379251762052953,10.865659488663066,0.7684502835268977,0.6287569191386246,6934.4,0.02911953144162326,50000.0
0.3,0.001,2,0.2758593311619507,0.2044529146226673,0.3010823339286975,0.04618341418491817,10.892397145395018,0.7666120240910168,0.6298559553130696,6943.85,0.028790283805224564,50000.0
0.3,0.003,1,0.25374357066001674,0.18740132560580103,0.28362951936481745,0.036456297517324085,10.59422301335112,0.7631954788029416,0.6319406975912532,7063.9,0.027734775088057505,50000.0
0.3,0.003,2,0.2564362580127159,0.19373142087157436,0.28092876357888075,0.03821233587467127,10.849640103666022,0.7639388933037181,0.6314966639331173,7066.6,0.02791328549270399,50000.0
