mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi
0.0,0.08,1,0.08542183785412424,0.09014469409255363,0.08069898124495069,0.0,10.163127196891313,0.7062981863162452,0.66718616708502,7241.15,0.0
0.0,0.08,2,0.08776000134197201,0.08488838903613485,0.09063161501924587,0.0,10.163743796281159,0.7096318550637585,0.6650881389212683,7258.4,0.0
0.0,0.08,3,0.08706935479455438,0.09422249074695076,0.07991621577438957,0.0,10.215057822368786,0.7074978904174875,0.6664250434090051,7252.45,0.0
0.0,0.12,1,0.08474257275773711,0.09379178954747096,0.07569335201412622,0.0,10.642326136052958,0.7273126772449753,0.6540406510720285,6964.15,0.0
0.0,0.12,2,0.08483212305775108,0.09286729305145944,0.07679694406185215,0.0,10.627012499534548,0.7298296155101847,0.6524788799316711,6941.85,0.0
0.0,0.12,3,0.07934860796954235,0.0919421147842647,0.06675510152035648,0.0,10.609231113148768,0.7319215927919293,0.6511707478625415,6952.05,0.0
0.0,0.2,1,0.07406814487843297,0.09031698381273248,0.057819305669437326,0.0,11.407294690315116,0.7643501511276913,0.6312328683321038,6472.6,0.0
0.0,0.2,2,0.07519010720289779,0.08885067431099303,0.061529542423533014,0.0,11.44637805799196,0.7648072283014082,0.6309541965658997,6480.7,0.0
0.0,0.2,3,0.07016029867627357,0.08960561457016121,0.05071498435556193,0.0,11.379990411071407,0.7656316940806343,0.6304516868694566,6449.65,0.0
0.0,0.3,1,0.06851746678925749,0.08884797449640344,0.04818695427963345,0.0,12.284573390488678,0.7966838859404578,0.6117507480526314,5999.85,0.0
0.0,0.3,2,0.06791165803138274,0.08643016783099979,0.04939315070179884,0.0,12.30411968524091,0.8002173645302063,0.6096529708310413,6001.75,0.0
0.0,0.3,3,0.0642101202721963,0.08421545925369471,0.04420478065328827,0.0,12.256953348164409,0.7992163882526497,0.6102466658772836,5988.55,0.0
0.12,0.0005,1,0.5576732617862854,0.7288772444263827,0.37983975350353905,0.006629528169514685,6.737218702044087,0.8687021860082481,0.5703786686482484,5276.2,0.0973553669302801
0.12,0.0005,2,0.5352908166037244,0.7075970796234886,0.359611179733469,0.003373373898064077,8.60245030028205,0.8298776966294764,0.5942077359094972,5535.571428571428,0.08580613400447772
0.12,0.0015,1,0.19684567174199524,0.14950249909542707,0.23203395727875656,0.01215488548003741,9.631669573178076,0.7214559366059887,0.6576979417105273,7689.55,0.061108034820491784
0.12,0.0015,2,0.19704725701631526,0.15259978481069023,0.22893825985697475,0.01255646931777755,9.69975654591752,0.7214572986170371,0.6576910876531554,7688.55,0.0609427057164907
0.12,0.001,1,0.21533179749658532,0.16672385626997202,0.2505352807885148,0.01340445427737153,9.681193640619245,0.7285786449404592,0.6532617957442953,7641.05,0.059092931254784965
0.12,0.001,2,0.21075118338026705,0.15575151438514118,0.2516633698284409,0.01408748183026346,9.726126415104876,0.7302934410318258,0.6522012731399098,7653.1,0.05862965440820918
0.12,0.003,1,0.19054385690769843,0.14221667843703342,0.2292158145022539,0.009655225351984625,9.629797708687894,0.7158693272520902,0.661192633108268,7762.7,0.06804820618015182
0.12,0.003,2,0.18668687689325925,0.14193116864474192,0.22262466161743094,0.008817924377887684,9.624078841308584,0.7153440155016451,0.661509294666524,7757.25,0.06671200647650313
0.12,0.005,1,0.1786721670534935,0.1383912883628787,0.21226466115592252,0.006688385883362617,9.539440502057232,0.7090530927169859,0.6654529676893605,7826.8,0.07745587501316506
0.12,0.005,2,0.1783024127612617,0.13882271792923712,0.21107115171138946,0.006710958737508425,9.577076933166461,0.7060921867959925,0.6673136904737201,7823.55,0.07730954151321665
0.12,0.008,1,0.1633555383820611,0.12441153728078018,0.19736814806692923,0.004931390956783858,9.467529442678678,0.7046536842879165,0.6682185292740255,7857.95,0.09405757981121698
0.12,0.008,2,0.16285964159848915,0.12843901843493424,0.19286472386027817,0.004415536069986935,9.442419840703456,0.6967354906007236,0.6732142884960681,7862.1,0.09262167349242548
0.12,0.013,1,0.14409459845417763,0.11833340577036519,0.16678104394258475,0.0030747472521373003,9.391355822320666,0.6901873311047554,0.677351684862017,7900.4,0.11570421639495017
0.12,0.013,2,0.14252521403926308,0.1132612532236903,0.1687503790864209,0.0030387933154571176,9.435345559522137,0.6892789225210412,0.6779244336665811,7904.0,0.11422519356704923
0.12,0.02,1,0.13744810090089107,0.1125191453738813,0.1603582360870744,0.002018820919878201,9.379572731066748,0.6879107973590668,0.6787984959316811,7903.15,0.13941200491754674
0.12,0.02,2,0.13368674183324572,0.10291722710341326,0.16238181525044326,0.0020744417339102978,9.376368824485288,0.6845619899523782,0.6809165850148925,7897.2,0.1398085994564116
0.12,0.03,1,0.12166323513114281,0.10180434806872687,0.1400922238541922,0.0014298937700071928,9.385704486170352,0.6848215125901561,0.6807553135824838,7865.35,0.16869938669385953
0.12,0.03,2,0.1281062438703875,0.1072840115574838,0.14738438054082798,0.001544092402332394,9.430089655012514,0.6800456721562338,0.6837824148161948,7865.55,0.16612678748816628
0.15,0.0005,1,0.5696370668426913,0.7479299908574736,0.38386235318381745,0.007481785773307119,6.891974016511212,0.8655340255385597,0.5721654043757743,5230.761904761905,0.08008925050572328
