I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007056005850877193,2.008726896491228,0.015,0.002253565814035088,0.5,30000.0,False,e0.5_k3.0e4_mu0.1_T0.015_s1,0.09715309380701753,0.1,57,1,-0.19519125701754386
0.000710884210877193,1.9790457070175438,0.015,0.0022990246087719306,0.5,30000.0,False,e0.5_k3.0e4_mu0.1_T0.015_s2,0.09323276412280701,0.1,57,2,-0.1845276538596491
0.000710150615614035,1.9830511771929822,0.015,0.0022779250859649124,0.5,30000.0,False,e0.5_k3.0e4_mu0.1_T0.015_s3,0.09454056801754386,0.1,57,3,-0.18745548052631578
0.0007171606021052631,1.9444848403508772,0.0005,6.13435349122807e-05,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.0005_s1,0.23472114543859646,0.3,57,1,-0.45631516333333333
0.0007072564471929825,1.9996360456140352,0.0005,5.896823575438596e-05,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.0005_s2,0.2569116222807018,0.3,57,2,-0.5140617075438596
0.000713855235614035,1.96308599122807,0.0005,6.370418484210526e-05,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.0005_s3,0.2373432505263158,0.3,57,3,-0.4662603610526316
0.0007152188280701754,1.9549759456140354,0.002,0.00018777519421052632,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.002_s1,0.1794006587719298,0.3,57,1,-0.3509107128070175
0.0007087543843859648,1.9907900947368422,0.002,0.00019039191842105263,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.002_s2,0.20386982684210528,0.3,57,2,-0.40584754438596493
0.0007145776452631578,1.9584786859649121,0.002,0.00019186829000000002,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.002_s3,0.17855891403508772,0.3,57,3,-0.349694080877193
0.000717241273859649,1.9439654175438599,0.006,0.0005570484440350878,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.006_s1,0.13724532719298246,0.3,57,1,-0.2669102349122807
