mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.15,0.003,2,0.20339246124794336,0.1582712969058261,0.23387363709424352,0.014639988915466608,9.871252716844257,0.722311317382051,0.6571580434184259,7629.55,0.055749447597458236,10.0
0.15,0.005,1,0.195591038031047,0.14972524058218886,0.2304775582563369,0.010979274072804092,9.652247352090692,0.724417808383216,0.6558401884514452,7704.15,0.06388313033634187,10.0
0.15,0.005,2,0.18986801794475314,0.14807290486527966,0.2207088302473213,0.010954302557684717,9.742067747856638,0.7128412770654162,0.6630798243411345,7693.35,0.06395547255433255,10.0
0.15,0.008,1,0.17429615820709124,0.1328842576857368,0.2080496570664144,0.007658405483942141,9.652735533634852,0.7146409325843722,0.6619574790923966,7752.55,0.07555593794005347,10.0
0.15,0.008,2,0.17851513649429138,0.1372318978832705,0.21183346075002976,0.007964914925559069,9.574033450224968,0.7141826121653672,0.6622378848790735,7761.1,0.07649496511035292,10.0
0.15,0.013,1,0.16023440798475783,0.1294740052169106,0.18602750434096366,0.004967300193284184,9.593425865775917,0.6953063469469151,0.674113212299197,7832.9,0.09147957406480105,10.0
0.15,0.013,2,0.1645423560857791,0.12720836598489021,0.19698843976071498,0.004887905591720825,9.521450416728005,0.700423476859792,0.6708891648676787,7814.8,0.09204628259335491,10.0
0.15,0.02,1,0.1433406301210119,0.11374830517659944,0.169498739802142,0.0034342156593331597,9.492235174770645,0.6925752930766259,0.6758385962417858,7853.55,0.11193331263415227,10.0
0.15,0.02,2,0.14976114315637096,0.12032476490390849,0.17609831653767707,0.003099206519663593,9.576670777070339,0.688860539662863,0.678196697483241,7833.2,0.11257518832299103,10.0
0.15,0.03,1,0.13229305202902958,0.10863292436983289,0.1537230006054376,0.002230173453892903,9.489055343936847,0.6860660270673897,0.6799600039701127,7823.35,0.1346610199653473,10.0
0.15,0.03,2,0.13265475420128553,0.10665907070448874,0.1563052622309347,0.0023451769301241847,9.481752642341595,0.6907151184649454,0.6770171045618396,7809.1,0.13755015524952788,10.0
0.1,0.0005,1,0.579651620704533,0.7889081375652274,0.36432825913896016,0.006066848046555752,6.7794197299359285,0.859963939504373,0.5753395073293158,5141.571428571428,0.11209682376335034,10.0
0.1,0.0005,2,0.1959247249639903,0.06582479207544657,0.3279713307114447,-0.0019466704771473285,14.340066390311899,0.6820053885587352,0.6825655997202169,8171.05,0.022214631659924683,10.0
0.1,0.0015,1,0.1859228944050507,0.1394940711752166,0.22338725278271349,0.008964468620132627,9.518766930466343,0.7205884662742414,0.658241406116512,7759.1,0.06778764339801832,10.0
0.1,0.0015,2,0.19006195335886877,0.1454424227171611,0.22580755005818123,0.008873934818389707,9.581237520545088,0.7164184816104606,0.6608383061466097,7771.55,0.06891308454713334,10.0
0.1,0.001,1,0.1953396112343548,0.150687912450296,0.22990121851931447,0.010090090908337672,9.687774513686191,0.7193131385786989,0.6590381416136788,7753.4,0.06541480932225081,10.0
0.1,0.001,2,0.19530651847499195,0.14478845933018208,0.2358172061004144,0.010007372872341594,9.635281031941545,0.720691188767312,0.6581865138284438,7753.2,0.06383118184740308,10.0
0.1,0.003,1,0.17426994568642135,0.13536697165665942,0.2064902283317625,0.006682687522558748,9.444675316304183,0.7038589010387749,0.6687222557439066,7855.8,0.078466988254586,10.0
0.1,0.003,2,0.17358808807359544,0.1364647587224222,0.20428247597795357,0.006428947138850588,9.502686465901444,0.7051320470232252,0.6679238560948527,7829.0,0.0774503700582381,10.0
0.1,0.005,1,0.1590507888673522,0.1229829920166248,0.19055860467965507,0.004559980723703323,9.4099101943056,0.7025389121807878,0.6695481024640062,7892.55,0.09131860434145345,10.0
0.1,0.005,2,0.16850722208627789,0.12577314691506533,0.2065205259394946,0.004720766727060144,9.49219966815701,0.7023137376351427,0.6696942626236028,7891.75,0.0922234766370845,10.0
0.1,0.008,1,0.1478045687095652,0.11631569059899949,0.17648444125254267,0.002809005336113884,9.354915300324963,0.694740786783778,0.6744755323886776,7928.25,0.10975196234860438,10.0
0.1,0.008,2,0.1475043458899437,0.11781336114875747,0.17420688765191475,0.002988446150011552,9.386447438449826,0.6971013788285393,0.6729779673518516,7942.0,0.1131019065752179,10.0
0.1,0.013,1,0.14074278585102667,0.1137707774392488,0.16570520070404995,0.0020095921854276335,9.25920283363857,0.6882716662748871,0.6785649759215134,7949.95,0.13719277373085165,10.0
0.1,0.013,2,0.1359808890980219,0.10804911063494789,0.161774660673561,0.002138010079146972,9.36682308823496,0.6866048026057581,0.6796206186721101,7959.55,0.13518486226747123,10.0
0.1,0.02,1,0.12643302604411058,0.10247068602936504,0.14883081290293967,0.001564553594608693,9.348365215740035,0.6845674230548998,0.6809198946230846,7930.65,0.16382197018016467,10.0
0.1,0.02,2,0.13044125171224058,0.10413736193679557,0.15501197898307617,0.0017331644958263539,9.310305875913325,0.6875840889832645,0.6790060748392045,7921.6,0.16500564029174403,10.0
0.1,0.03,1,0.12455329701604619,0.10561716725716357,0.14244057950765213,0.0010488490025788388,9.384906361426854,0.6794753001959428,0.6841458108150084,7881.35,0.19672669167022827,10.0
0.1,0.03,2,0.11820616787700848,0.09995092262072584,0.13521810390408953,0.0012433107259937927,9.41289624454026,0.6860550996642084,0.6799696650860174,7864.75,0.1957897082878665,10.0
0.2,0.0005,1,0.1883570616750445,0.06936914096429739,0.30845211077912876,-0.0011071276363819563,14.286057581182325,0.6771980850654167,0.6856263659249455,8078.526315789473,0.01145884872963478,10.0
0.2,0.0005,2,0.1880938359344045,0.07756260420343,0.29961609056518856,-0.0009910203411264778,14.032552533602773,0.6807899131824385,0.6833383188625086,8061.5,0.01048015916757889,10.0
0.2,0.0015,1,0.23935385092144998,0.17791992014070487,0.2754836830253678,0.02530409431144807,10.197745779476225,0.7528391073867994,0.6382767900971774,7321.65,0.04366919328409955,10.0
0.2,0.0015,2,0.24345609991456624,0.1838167860490862,0.2768830478882779,0.02621236657631021,10.16206615951466,0.7455462672633889,0.642756095990612,7341.8,0.043474215448178324,10.0
0.2,0.001,1,0.245884442201496,0.1851487246986845,0.27716889908382575,0.029451259006980528,10.373207982544752,0.7441704332368696,0.6436016548649632,7296.65,0.04378308223212282,10.0
0.2,0.001,2,0.25046828991023407,0.19450699039654779,0.27855632488033416,0.027873268564106952,10.38799970320449,0.748971058966542,0.6406496148348317,7280.35,0.04514568079589506,10.0
0.2,0.003,1,0.2264883727545793,0.17166409381096676,0.26011042651686517,0.02120223236711712,10.110281715816718,0.7488698076126504,0.6407250952402366,7416.45,0.04673197644955425,10.0
0.2,0.003,2,0.23107814464172605,0.18110437359256903,0.25861582844783176,0.022436090487419517,10.138681126477342,0.7382484810026763,0.6472648891472654,7426.2,0.04539420976693134,10.0
0.2,0.005,1,0.22084333471850762,0.16903364771082846,0.25529594487401036,0.017357078965353545,10.065442113796543,0.7395708595327056,0.6464487887794809,7497.05,0.050814446540108894,10.0
0.2,0.005,2,0.21643441376918576,0.1667803665881008,0.24811199063014158,0.01797646931346012,10.06856352860139,0.7352991187414154,0.6490914081575208,7509.75,0.05064059721390831,10.0
0.2,0.008,1,0.20503197875676893,0.15249667053374868,0.24401604831441234,0.013551235853134613,9.84156279540844,0.7284258674957402,0.6533625939883362,7589.15,0.05889482586415412,10.0
0.2,0.008,2,0.20566369213509067,0.159164102049388,0.2384433383790648,0.01371994212163401,9.822916722984296,0.7297727364048291,0.6525092224457545,7567.4,0.059938245294888094,10.0
