mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
1.0,0.0005,1,0.00039624519452694613,0.395311198369231,0.43881240182095044,0.3408710773419816,0.010938920158968527
1.0,0.0005,2,0.00011462725132634732,0.23325385001906193,0.154097989037921,0.3095752697257782,0.0028344424904470883
1.0,0.0015,1,0.0002902786152994012,0.2731419302694825,0.21250479293346652,0.2403800442730094,0.09339902477151812
1.0,0.0015,2,0.000295790877994012,0.2761396837007178,0.21725883986723174,0.23687179667647656,0.09814872890770752
1.0,0.001,1,0.0002341494388922156,0.2772338727826472,0.21676886334804543,0.2418192136714183,0.09587967252858953
1.0,0.001,2,0.00023375493083832336,0.26807205573822945,0.21131288255869254,0.23368399047957736,0.09114724079372408
1.0,0.003,1,0.0004303368568862275,0.269768564581864,0.20658308532931857,0.2455913403330564,0.08736270746013428
1.0,0.003,2,0.00043950569880239526,0.2729510986361434,0.2134943001822666,0.24432484279441224,0.08808305603158811
1.0,0.005,1,0.000620422726497006,0.2643890581134705,0.20548866510932282,0.2420336214901364,0.08125583128344875
1.0,0.005,2,0.0006245687916766467,0.27050952277006446,0.21410842619278345,0.24334368491405906,0.08356693884043263
1.0,0.008,1,0.0008748317114970061,0.26157202733176266,0.2081003034483167,0.24280373030403363,0.07224002032092397
1.0,0.008,2,0.0008784161933532934,0.2633744583939811,0.20228768714216294,0.24504262109493766,0.0794186097062707
1.0,0.013,1,0.0012330057877245509,0.25690209347724713,0.2008822599411973,0.24569032958410011,0.0672315943442871
1.0,0.013,2,0.001250566186227545,0.2584624464523201,0.20526947090965558,0.24091284583360614,0.07074257555673256
1.0,0.02,1,0.0016823589616766464,0.25159705923334247,0.19900534648621382,0.24432033996307514,0.05986843061596347
1.0,0.02,2,0.0016987425553892216,0.2554751250578099,0.19853172889217985,0.2490727811772059,0.06334574057327258
1.0,0.03,1,0.0022811892347305387,0.2436948982994204,0.1968698221884288,0.24142527526399588,0.04909470056434314
1.0,0.03,2,0.0022483469970059878,0.24223230348785246,0.19045627356707284,0.2397047364159598,0.05430359273031033
