mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
0.0,0.0005,2,0.00028770389559880236,0.42537462910634344,0.5401355521351644,0.31061371218379435,0.0
0.0,0.0015,1,0.00039344378625748506,0.10100735847638793,0.07646833224677906,0.12554638347758762,0.0
0.0,0.0015,2,0.00039254088062874254,0.10077054551850925,0.07653458188702505,0.1250065092809758,0.0
0.0,0.001,1,0.0003293103678143713,0.10041394607333186,0.07599977518402416,0.12482811550246671,0.0
0.0,0.001,2,0.00034271513997005985,0.10294251031208611,0.07842197135270099,0.1274630470549474,0.0
0.0,0.003,1,0.0005862217776646707,0.10094047258459565,0.07898909253809783,0.12289184846665743,0.0
0.0,0.003,2,0.0005956562102694611,0.10061913236550721,0.07736831162929597,0.12386995184108456,0.0
0.0,0.005,1,0.0008517418338023952,0.09711463886599202,0.07607370646840532,0.11815556999356397,0.0
0.0,0.005,2,0.000848353565239521,0.09769534581692804,0.07566090144638858,0.11972979103153641,0.0
0.0,0.008,1,0.0012311682431137723,0.09658427010783667,0.07916528563022565,0.11400325368802286,0.0
0.0,0.008,2,0.0012345253323353292,0.09908658827089162,0.08190878464681903,0.11626439085335616,0.0
0.0,0.013,1,0.0018737530865269463,0.0996546119466076,0.08487446515376608,0.11443475512292271,0.0
0.0,0.013,2,0.001874440280838323,0.0989741652816558,0.08013534393275538,0.11781298656282961,0.0
0.0,0.02,1,0.0027822948565868265,0.09544677884441471,0.08534072388759471,0.10555283544297787,0.0
0.0,0.02,2,0.0027766345311377246,0.0943633455506477,0.07844376235117628,0.11028292148654825,0.0
0.0,0.03,1,0.004042633911077844,0.0902705097332161,0.08279147030627716,0.09774955003398515,0.0
0.0,0.03,2,0.004066715314371258,0.09313081885502685,0.08429337088391449,0.10196826592504668,0.0
0.12,0.0005,1,7.056752795808383e-05,0.4953818991720124,0.6334296811458775,0.35064398133165026,0.0066901362691747105
0.12,0.0005,2,6.980025013473054e-05,0.39955652532311253,0.4630220433414238,0.3338679559909248,0.002223052931321215
0.12,0.0015,1,9.980618178443114e-05,0.19690433543032274,0.1443246743654324,0.2369181179275589,0.012565875785126595
0.12,0.0015,2,0.00010222593579041917,0.19814267347808182,0.14306800613415857,0.2406985162887919,0.012518822706608201
0.12,0.001,1,7.989134484131736e-05,0.20863807202688633,0.15320182360772194,0.25035018478055426,0.013724130713606304
0.12,0.001,2,7.573413983832335e-05,0.2072191093321216,0.1475624707760829,0.2535339465646198,0.013341800356634768
0.12,0.003,1,0.00017701797416167663,0.18415159806016024,0.1344629835764473,0.2240524806749484,0.0097877319142779
0.12,0.003,2,0.00018109122874251498,0.18780162206649953,0.13638235554507855,0.23060902038846287,0.008611871318267095
0.12,0.005,1,0.000270922154730539,0.17308484188330744,0.12836340422431794,0.2107346123141274,0.007071672250644775
0.12,0.005,2,0.00028076154170658685,0.17602781097734954,0.12995146302477342,0.215623797986917,0.0064803604285159615
0.12,0.008,1,0.00042682375470059873,0.15739000073002266,0.11632153167872084,0.1935665389005858,0.004891930016868089
0.12,0.008,2,0.0004241755120658683,0.1619250669478862,0.12025529375895636,0.19928959028277063,0.004305249519709127
0.12,0.013,1,0.0006733423860479041,0.14070366560571146,0.1093494382239001,0.16890968615286425,0.003148206055448719
0.12,0.013,2,0.0006679940747005989,0.1419440506881507,0.1070667888894869,0.17408104203179145,0.002740270471552382
0.12,0.02,1,0.0010405383604491017,0.13550766865389083,0.10553659321319064,0.16319918487983293,0.0022795549641570216
0.12,0.02,2,0.001050321730718563,0.13420376819329774,0.09946196938903006,0.1672304532989248,0.0017151141575497137
0.12,0.03,1,0.0016101434107784432,0.12093495164078648,0.09869449953772695,0.1412500553383489,0.0019253417099749683
0.12,0.03,2,0.0016212182212574848,0.12468152920817101,0.09952780812004419,0.14897545136506174,0.0008597986387554351
0.15,0.0005,1,6.02249251736527e-05,0.4914622409243365,0.6123492324078177,0.36446370467541145,0.006111539699321568
0.15,0.0005,2,6.533945940119762e-05,0.28841491951799103,0.2743389181365841,0.3008140079356947,0.0016769109453617414
0.15,0.0015,1,0.00010452548735628744,0.2196714398735552,0.15980503216074501,0.26204269017771387,0.017495156096327187
0.15,0.0015,2,0.00010450034297005988,0.21270160797418414,0.15460816013788953,0.2539563038052742,0.01683874574146227
0.15,0.001,1,8.011098757185629e-05,0.22246846701574574,0.16005319690362468,0.2661752281341329,0.018708508663341412
0.15,0.001,2,7.811011679041916e-05,0.22236891918290638,0.16040181782494284,0.2652905351511092,0.019045485396984817
0.15,0.003,1,0.00018483201946107786,0.2026089588961504,0.1431502388005911,0.2481738426838087,0.013893837583726096
0.15,0.003,2,0.00018321609356287423,0.2032690168196677,0.14766233645435312,0.24514743132818223,0.013728263117644296
0.15,0.005,1,0.00028158879985029937,0.1895561070454357,0.1391169678576618,0.22926594664418842,0.010729297871128791
0.15,0.005,2,0.0002795563511976048,0.18846114144787196,0.13827016449934007,0.22821228622142684,0.01043983283382933
0.15,0.008,1,0.0004226435934730539,0.17734984844309484,0.13449367934814377,0.21229128262366614,0.007914732830987682
0.15,0.008,2,0.0004344715794311378,0.17318975794597502,0.13039065593657548,0.2081476525642414,0.00784120848760129
0.15,0.013,1,0.0006646306027245509,0.15818865673453475,0.11780850254729554,0.1932349121860308,0.005333897192320634
0.15,0.013,2,0.0006733468303892216,0.15430514828006403,0.11574123306952545,0.18799595048700682,0.004873114155558998
