Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.008,0.008,5.24165306122449,4.135093538513907,0.027607441668549518,0.09468348854832857,0.09462030564263926,0.033558412030939476,0.06754676925695328,0.8667210619230791,1.106559522710583,10.132331640443054,mu0.3_T0.008_s3,0.3,0.5710369672631909,3
0.02,0.02,5.420040816326529,4.191567878524623,0.026352844709267683,0.0885454091349131,0.07869013985362543,0.019329877142507612,0.09578393926231138,0.8264082281945213,1.2284729378019064,9.292291683651138,mu0.3_T0.02_s1,0.3,0.594196140674838,1
0.02,0.02,5.361367346938775,4.203569611245903,0.029295635983112175,0.08955637462382013,0.0866737082726754,0.022367611926173408,0.10178480562295132,0.847807574697598,1.1577977356928724,9.286590835059007,mu0.3_T0.02_s2,0.3,0.581812076371914,2
0.02,0.02,5.499040816326532,4.193505030717357,0.0262950482642768,0.09293391890212627,0.08641858191249761,0.026078957172261982,0.09675251535867828,0.8287944834006771,1.305535785609175,9.341614499438723,mu0.3_T0.02_s3,0.3,0.5928055088997892,3
0.001,0.001,4.629061728395061,4.0861532575744945,0.049376370070310906,0.1368081949104722,0.12748463301535606,0.043361020363071615,0.043076628787247294,0.9024208216446065,0.5429084708205663,11.694325074437995,mu0.4_T0.001_s1,0.4,0.5511588377122547,1
0.001,0.001,4.4626419753086415,4.098384241503224,0.048367442359300926,0.1440715768366946,0.12882393283805615,0.03016006492294497,0.04919212075161172,0.9087881894438962,0.3642577338054176,11.78404110239674,mu0.4_T0.001_s2,0.4,0.5476778189217416,2
0.001,0.001,4.440913580246915,4.103768436002593,0.045535321599940407,0.1264451311220641,0.12344118755451455,0.020879281933924593,0.05188421800129654,0.9142551135916608,0.33714514424432185,11.997287070837066,mu0.4_T0.001_s3,0.4,0.5447049611470426,3
0.003,0.003,4.702432098765433,4.0950343272637975,0.04552879108118336,0.12312501555459353,0.11910036799447633,0.038968382730639455,0.04751716363189892,0.9176682127452161,0.6073977715016357,11.331955221499907,mu0.4_T0.003_s1,0.4,0.5428566884445448,1
0.003,0.003,4.5916049382716055,4.106175080303479,0.04099395071623564,0.12116842446804188,0.1180569415553622,0.02236931770966066,0.053087540151739394,0.9234736332174404,0.48542985796812665,10.990405010997831,mu0.4_T0.003_s2,0.4,0.5397254853253295,2
0.003,0.003,4.657641975308642,4.099980261417654,0.033323736162286975,0.11551093290101877,0.11524727262008698,0.035712471069254285,0.04999013070882711,0.9369395010007708,0.5576617138909876,11.08855836782366,mu0.4_T0.003_s3,0.4,0.5325234824614231,3
0.008,0.008,4.8789135802469135,4.1167413064930365,0.036084989153335224,0.11540086033646836,0.10760528369607296,0.023680618332011183,0.05837065324651813,0.9273700516487925,0.762172273753877,10.840671416640362,mu0.4_T0.008_s1,0.4,0.5376327281365098,1
0.008,0.008,4.76183950617284,4.127919873912706,0.031150964815194786,0.10459955274827384,0.09856554189046147,0.03501015519041828,0.06395993695635302,0.9065261048028779,0.6339196322601337,10.591782781557088,mu0.4_T0.008_s2,0.4,0.5489139528790221,2
0.008,0.008,4.802654320987655,4.127848597795264,0.02933038072132275,0.11350941240813722,0.10103851627676834,0.041791574294503975,0.06392429889763217,0.9256288988076715,0.6748057231923905,10.680687517741491,mu0.4_T0.008_s3,0.4,0.5385664825708822,3
0.0005,0.0005,4.232163265306123,4.094315782074445,0.047146124198757786,0.14681073831892677,0.1326865847931911,0.045693768558471064,0.04715789103722259,0.8975123399827231,0.13784748323167761,12.759176660458905,mu0.5_T0.0005_s1,0.5,0.5538554244132324,1
