P,mu_g,Tgran,seed,chi
25.0,0.3,0.00125,2,0.05893720969879009
25.0,0.3,0.00375,1,0.051783807310710604
25.0,0.3,0.00375,2,0.05129363138040337
25.0,0.3,0.0025,1,0.05325325297659728
25.0,0.3,0.0025,2,0.05294589548306794
25.0,0.3,0.0075,1,0.051921930962473356
25.0,0.3,0.0075,2,0.050644464841465196
25.0,0.3,0.0125,1,0.053876837594159434
25.0,0.3,0.0125,2,0.052485841827103245
25.0,0.3,0.02,1,0.056622417058405095
25.0,0.3,0.02,2,0.05649166048314983
25.0,0.3,0.0325,1,0.06243077704881083
25.0,0.3,0.0325,2,0.06201920176312786
25.0,0.3,0.05,1,0.06974250355137754
25.0,0.3,0.05,2,0.06956144300371586
25.0,0.3,0.075,1,0.07811387475223038
25.0,0.3,0.075,2,0.07760168849776758
25.0,0.5,0.00125,1,0.045756104594998716
25.0,0.5,0.00125,2,0.044738734366016754
25.0,0.5,0.00375,1,0.041368725250117325
25.0,0.5,0.00375,2,0.03988780553785849
25.0,0.5,0.0025,1,0.04238165790982291
25.0,0.5,0.0025,2,0.0413360442266999
25.0,0.5,0.0075,1,0.04110907134838193
25.0,0.5,0.0075,2,0.039572302040030996
25.0,0.5,0.0125,1,0.04173156564414794
25.0,0.5,0.0125,2,0.04070813071327342
25.0,0.5,0.02,1,0.04439533561966097
25.0,0.5,0.02,2,0.0431059137965968
25.0,0.5,0.0325,1,0.047335067979734254
25.0,0.5,0.0325,2,0.0462284796086171
25.0,0.5,0.05,1,0.051496162417210244
25.0,0.5,0.05,2,0.04972452985974848
25.0,0.5,0.075,1,0.05654152253378954
25.0,0.5,0.075,2,0.05440891761315793
5.0,0.05,0.00025,1,0.19477107559600493
5.0,0.05,0.00025,2,0.21882714992174998
5.0,0.05,0.00075,1,0.19187532787232997
5.0,0.05,0.00075,2,0.17090282859037748
5.0,0.05,0.0005,1,0.20948375097651561
5.0,0.05,0.0005,2,0.1992901194834176
5.0,0.05,0.0015,1,0.184889871283883
5.0,0.05,0.0015,2,0.1846266631738226
5.0,0.05,0.0025,1,0.21718774612945113
5.0,0.05,0.0025,2,0.21653468903297257
5.0,0.05,0.004,1,0.2532492618209683
5.0,0.05,0.004,2,0.25401134487183324
5.0,0.05,0.006500000000000001,1,0.29722579088861906
5.0,0.05,0.006500000000000001,2,0.2965766148117312
5.0,0.05,0.01,1,0.33766661100692674
5.0,0.05,0.01,2,0.33704350216555246
5.0,0.05,0.015,1,0.3768845611269438
5.0,0.05,0.015,2,0.37637580542821814
5.0,0.15,0.00025,1,0.08465423218847501
5.0,0.15,0.00025,2,0.09223292322889687
5.0,0.15,0.00075,1,0.08675512940865042
5.0,0.15,0.00075,2,0.082387800600158
5.0,0.15,0.0005,1,0.07690743283026101
5.0,0.15,0.0005,2,0.08527132233121425
5.0,0.15,0.0015,1,0.08624800984294365
