Tgran,Theta,frac_strong,label,life_all,life_strong,life_weak,mu_g,n_ep_all,n_ep_strong,n_ep_weak,rate_all,rate_path_all,rate_path_strong,rate_path_weak,rate_strong,rate_weak,seed
0.015,0.0015079637,0.17925591882750846,mu1.0_T0.015_s1,0.40712381457656344,1.0726526082130965,0.26176793794440856,1.0,15079,2703,12376,0.019711108331184387,0.03660148116843223,0.029689503460872454,0.03811110267324267,0.009918970357022768,0.021849775828288367,1
0.015,0.0016475582333333333,0.18685029464344832,mu1.0_T0.015_s2,0.4011057405813414,1.0325868178596738,0.2560003257063757,1.0,15103,2822,12281,0.020640108793595076,0.03769921260074793,0.02980828961277817,0.03951243503149873,0.009766701611883439,0.023138663884124375,2
0.015,0.0016531354666666665,0.18615921426725252,mu1.0_T0.015_s3,0.3877959421039028,0.9826067337729952,0.2517379912663756,1.0,15476,2881,12595,0.021502066669865396,0.038402725646648365,0.03024258272129954,0.040269289502776195,0.01055105333045037,0.02400701858974271,3
0.0005,0.00013087294333333333,0.2410657644322267,mu2.0_T0.0005_s1,1.3197589342355676,2.3994210526315785,0.9768180551685706,2.0,4729,1140,3589,0.007151979666701848,0.012054272918942288,0.009131324281965779,0.012982710212381472,0.002858966453253426,0.008515600470081954,1
0.0005,0.00014458641,0.22914488814551537,mu2.0_T0.0005_s2,1.277116872255906,2.3982481751824816,0.9438486574450773,2.0,4783,1096,3687,0.006834434505285816,0.011601580098882182,0.00962408561048088,0.012189411386999301,0.003227134035097432,0.00790674297160707,2
0.0005,0.00013091001,0.2222455403987408,mu2.0_T0.0005_s3,1.283477439664218,2.398781869688385,0.9647760388559092,2.0,4765,1059,3706,0.007085262530073496,0.011789600799127381,0.008939701292652275,0.012603967657561579,0.0027041529951605395,0.008337176992424498,3
0.002,0.0003639972433333333,0.16820757530569638,mu2.0_T0.002_s1,0.9227259170891737,2.396329787234042,0.6247292936536393,2.0,6706,1128,5578,0.010275177529777213,0.01808858181463532,0.014044709370239532,0.018906345908804995,0.0033527088061534884,0.011675060054023816,1
0.002,0.0003437649,0.16673916195447297,mu2.0_T0.002_s2,0.8947933884297519,2.39475652173913,0.5946441621715677,2.0,6897,1150,5747,0.010327568319358917,0.018108969139102017,0.013803940107221234,0.018970424400397107,0.0028193076731863284,0.011830004328250246,2
0.002,0.00034937530333333335,0.16347653480788318,mu2.0_T0.002_s3,0.8850701829008932,2.39846487424111,0.5893169491525424,2.0,7053,1153,5900,0.010396139162256601,0.018197068136850156,0.013601884098021915,0.019095076136302527,0.0028932998703231016,0.011862371993375127,3
0.006,0.0007330555499999999,0.12337039877300614,mu2.0_T0.006_s1,0.6043826687116565,2.1897202797202793,0.381273920174959,2.0,10432,1287,9145,0.014367725222248004,0.026137954166506824,0.02014337306541513,0.026981587395277194,0.0035179677217685693,0.01589464024719246,1
0.006,0.0007499463966666667,0.1253930817610063,mu2.0_T0.006_s2,0.6235318396226415,2.165360501567398,0.40247865168539326,2.0,10176,1276,8900,0.013395180275843199,0.025443881601997547,0.019590165595762172,0.02628313346985781,0.003153275773258568,0.014863570179809263,2
0.006,0.0007619519566666666,0.1235912129894938,mu2.0_T0.006_s3,0.6011518624641833,2.16452086553323,0.38068548387096773,2.0,10470,1294,9176,0.014079969314580857,0.025998845936328046,0.02015394690359806,0.02682309390367249,0.003308116041171307,0.015599016626676756,3
0.015,0.0015427815666666667,0.19264266216040557,mu2.0_T0.015_s1,0.38484271415572596,0.9567611336032386,0.24837787795846078,2.0,15386,2964,12422,0.020320991133412517,0.03718564848857357,0.031009438459881394,0.03865934729110485,0.01057933091821868,0.022645438153041767,1
0.015,0.0015682850333333335,0.18682681637182583,mu2.0_T0.015_s2,0.3843090280044389,0.985859538784067,0.24610259291964356,2.0,15319,2862,12457,0.020314760786989638,0.03718721223549464,0.03037614175099056,0.038752058003067136,0.010448782558318772,0.022581472651038444,2
0.015,0.0015947447333333334,0.18326876354323987,mu2.0_T0.015_s3,0.3880655328649288,1.0106377642422069,0.24836468885672935,2.0,15229,2791,12438,0.02014335581549604,0.0369089037466938,0.03076307250932903,0.03828798518932807,0.010215026100091973,0.02237120339836248,3
0.0005,0.00013626230999999999,0.24164299759667904,mu5.0_T0.0005_s1,1.3418855145291675,2.398426763110307,1.0052290406222988,5.0,4577,1106,3471,0.0069303393503817486,0.011669853366379905,0.009464091150792584,0.012372697794625243,0.0032452262665891613,0.008104564377945737,1
0.0005,0.00016272120666666667,0.22590738423028786,mu5.0_T0.0005_s2,1.276752190237797,2.3989196675900275,0.9492643492320127,5.0,4794,1083,3711,0.008093623889390835,0.013258693807588496,0.010363767719346979,0.014103534808279836,0.003750859759686912,0.009360994827808876,2
0.0005,0.0001261109,0.21835883171070933,mu5.0_T0.0005_s3,1.2317285912974367,2.3977616014558687,0.9059862735129638,5.0,5033,1099,3934,0.00633884088026445,0.011056808172380932,0.008842873507710245,0.011675291699699969,0.002453762416542045,0.00742417418774562,3
0.002,0.00037714237999999996,0.16721556886227545,mu5.0_T0.002_s1,0.9132799401197603,2.3908415398388536,0.6165989573970878,5.0,6680,1117,5563,0.010978013885988694,0.0191388412326681,0.014611054397809414,0.02004797980799385,0.0031704487458526693,0.012545702230682552,1
