I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.00031866293789473686,9.848034391228069,0.003,0.00045257054298245616,,mu0.0_T0.003_s1,0.10548043589473684,0.0,,57,1,-1.038640620877193
0.000318327826491228,9.868976307017546,0.003,0.0004575881019298245,,mu0.0_T0.003_s2,0.10329642754385965,0.0,,57,2,-1.019118867368421
0.00032027595684210524,9.749075480701755,0.003,0.0004573509049122807,,mu0.0_T0.003_s3,0.10816590728070176,0.0,,57,3,-1.054435413859649
0.000318635882631579,9.850345996491228,0.008,0.0010732417956140351,,mu0.0_T0.008_s1,0.0961875171754386,0.0,,57,1,-0.9479850419298246
0.00031890126017543855,9.833254066666667,0.008,0.001044049660877193,,mu0.0_T0.008_s2,0.10365567615789474,0.0,,57,2,-1.0195649480701754
0.00031731170210526317,9.932010778947369,0.008,0.0010483489654385964,,mu0.0_T0.008_s3,0.09880139191228071,0.0,,57,3,-0.9812437170175438
0.00031702417140350874,9.950105098245611,0.02,0.0024575668035087712,,mu0.0_T0.02_s1,0.08618994492982454,0.0,,57,1,-0.8578553817543859
0.0003176128078947368,9.913181471929825,0.02,0.002475778543859649,,mu0.0_T0.02_s2,0.08978150761403508,0.0,,57,2,-0.8899387301754387
0.00031985104245614034,9.775794384210528,0.02,0.0024814037473684216,,mu0.0_T0.02_s3,0.09822253424561404,0.0,,57,3,-0.9612486661403508
0.000311596308245614,10.301507577192982,0.0005,2.5693530000000006e-05,,mu0.15_T0.0005_s1,0.34857308824561406,0.15,,57,1,-3.591550864912281
0.0003669521043859649,7.44219017368421,0.0005,2.7488175192982458e-05,,mu0.15_T0.0005_s2,0.3632126945614036,0.15,,57,2,-2.7120354666666673
0.0003172752542105263,9.948278984210528,0.0005,8.121813201754386e-05,,mu0.15_T0.0005_s3,0.2658082215087719,0.15,,57,3,-2.617705354035088
0.00031776771438596493,9.903379792982456,0.001,4.936091638596491e-05,,mu0.15_T0.001_s1,0.2532922128070176,0.15,,57,1,-2.50824158245614
0.0003136387692982456,10.165842912280702,0.001,4.9781412421052635e-05,,mu0.15_T0.001_s2,0.2728139914035088,0.15,,57,2,-2.7735463333333334
0.00031296076035087713,10.210041403508773,0.001,4.926374073684211e-05,,mu0.15_T0.001_s3,0.25622773807017546,0.15,,57,3,-2.615749429824562
0.00032039193192982455,9.741968685964913,0.003,0.00012288017859649124,,mu0.15_T0.003_s1,0.2211210054385965,0.15,,57,1,-2.1538844315789474
0.0003171197256140351,9.944519861403508,0.003,0.00012157767561403507,,mu0.15_T0.003_s2,0.24119282228070177,0.15,,57,2,-2.397466833333333
0.0003179837115789474,9.89018260877193,0.003,0.0001273348856140351,,mu0.15_T0.003_s3,0.2270291643859649,0.15,,57,3,-2.245911729824561
0.00032220843456140356,9.632693571929822,0.008,0.00028974321614035086,,mu0.15_T0.008_s1,0.1843033849122807,0.15,,57,1,-1.776444987719298
0.00031846459789473683,9.860237317543861,0.008,0.0002773438238596491,,mu0.15_T0.008_s2,0.20705752438596492,0.15,,57,2,-2.042015507017544
0.00031900433228070177,9.826827380701756,0.008,0.0002872211285964912,,mu0.15_T0.008_s3,0.18303532421052632,0.15,,57,3,-1.7988169754385963
0.0003232642736842105,9.569509221052632,0.02,0.0006874634571929824,,mu0.15_T0.02_s1,0.15073675210526313,0.15,,57,1,-1.4425571105263157
0.00032141729280701757,9.680037468421054,0.02,0.0006798051543859649,,mu0.15_T0.02_s2,0.15104255,0.15,,57,2,-1.4621475578947367
0.00032103961070175437,9.703856531578948,0.02,0.0006761455015789473,,mu0.15_T0.02_s3,0.1411023050877193,0.15,,57,3,-1.3703577526315789
0.0003087756177192982,10.492478754385964,0.0005,0.00039141257877192985,,mu0.1_T0.0005_s1,0.08587963692982456,0.1,,57,1,-0.8990066650877193
0.0003909691703508772,6.899672475438596,0.0005,0.0004582870408771929,,mu0.1_T0.0005_s2,0.08021461584210526,0.1,,57,2,-0.5343963828070175
0.0003188014128070176,9.8753557,0.0005,0.000303062603631579,,mu0.1_T0.0005_s3,0.12085833622807017,0.1,,57,3,-1.1497198614035087
0.00031780440807017545,9.901728659649121,0.001,4.3895439807017545e-05,,mu0.1_T0.001_s1,0.23004091175438596,0.1,,57,1,-2.2769161122807016
0.00031742376999999996,9.925186119298244,0.001,4.127399684210527e-05,,mu0.1_T0.001_s2,0.22950561385964913,0.1,,57,2,-2.278347556140351
0.00031720551280701754,9.93889381403509,0.001,4.427092007017544e-05,,mu0.1_T0.001_s3,0.23012410842105266,0.1,,57,3,-2.2869095719298245
0.0003210449754385965,9.702236663157892,0.003,0.00011290986368421052,,mu0.1_T0.003_s1,0.1915834143859649,0.1,,57,1,-1.8587983035087718
0.00031649565280701756,9.983160659649121,0.003,0.00011069280017543861,,mu0.1_T0.003_s2,0.19708940175438597,0.1,,57,2,-1.9677063947368423
0.00031894727263157897,9.830395931578947,0.003,0.00011306715649122809,,mu0.1_T0.003_s3,0.18542035368421056,0.1,,57,3,-1.8225983263157897
0.0003190046052631579,9.826801098245612,0.008,0.00027586602421052637,,mu0.1_T0.008_s1,0.14917604105263157,0.1,,57,1,-1.4659962649122809
0.0003192118557894737,9.814015933333334,0.008,0.0002828147654385965,,mu0.1_T0.008_s2,0.14512679438596493,0.1,,57,2,-1.424134650877193
0.0003178222821052632,9.900152675438596,0.008,0.0002813269822807017,,mu0.1_T0.008_s3,0.15893292596491226,0.1,,57,3,-1.5732155789473685
0.00032069366298245614,9.72356448245614,0.02,0.0007243156359649121,,mu0.1_T0.02_s1,0.12755094701754385,0.1,,57,1,-1.2404049421052632
0.0003196711284210527,9.785986666666666,0.02,0.0007230242170175438,,mu0.1_T0.02_s2,0.13092056842105262,0.1,,57,2,-1.28155970877193
0.0003181030884210527,9.882626159649122,0.02,0.0007195653856140351,,mu0.1_T0.02_s3,0.12148243771929824,0.1,,57,3,-1.200819654385965
0.000324975227368421,9.536256343859648,0.0005,2.486780196491228e-05,,mu0.2_T0.0005_s1,0.4160850468421053,0.2,,57,1,-3.9736079754385965
0.00032301924649122806,9.704526617543857,0.0005,2.8570842298245612e-05,,mu0.2_T0.0005_s2,0.4125411428070176,0.2,,57,2,-4.003650356140351
0.000314435120877193,10.174864098245616,0.0005,3.0599517192982454e-05,,mu0.2_T0.0005_s3,0.3904335103508772,0.2,,57,3,-3.966152422807017
0.0003187415017543859,9.842999312280702,0.001,5.567752840350877e-05,,mu0.2_T0.001_s1,0.29056154947368423,0.2,,57,1,-2.859793401754386
0.00031562255157894733,10.038819966666667,0.001,5.680107685964913e-05,,mu0.2_T0.001_s2,0.2929964085964912,0.2,,57,2,-2.9420924385964913
0.0003181066364912281,9.88225415263158,0.001,5.395377352631579e-05,,mu0.2_T0.001_s3,0.2671292182456141,0.2,,57,3,-2.639766649122807
0.0003189474591228069,9.83028413508772,0.003,0.00013855866596491228,,mu0.2_T0.003_s1,0.25572854543859647,0.2,,57,1,-2.5142174859649127
0.000317278851754386,9.934147394736843,0.003,0.00014096965,,mu0.2_T0.003_s2,0.2647571722807018,0.2,,57,2,-2.63107141754386
0.00031895071438596496,9.830208182456142,0.003,0.0001393121598245614,,mu0.2_T0.003_s3,0.24077431210526315,0.2,,57,3,-2.3664914140350874
0.00031889294228070174,9.833677156140348,0.008,0.0003081089001754386,,mu0.2_T0.008_s1,0.21810642350877193,0.2,,57,1,-2.144717085964912
0.00031771642210526313,9.906656049122807,0.008,0.0003199251405263158,,mu0.2_T0.008_s2,0.22615867754385963,0.2,,57,2,-2.241092150877193
0.0003199003857894737,9.771876724561402,0.008,0.00031973597526315786,,mu0.2_T0.008_s3,0.2012475461403509,0.2,,57,3,-1.9665334789473685
0.00032193082473684214,9.64917349649123,0.02,0.0006587527412280702,,mu0.2_T0.02_s1,0.15632528736842105,0.2,,57,1,-1.5090118543859647
0.0003169263459649123,9.956808896491228,0.02,0.0006781695019298244,,mu0.2_T0.02_s2,0.18576028789473684,0.2,,57,2,-1.8513468157894735
0.00031947885175438593,9.798055987719298,0.02,0.0006585901231578948,,mu0.2_T0.02_s3,0.15873485070175442,0.2,,57,3,-1.5560199964912282
0.00034253789947368425,8.532685745614035,0.0005,5.346377549122808e-05,,mu0.3_T0.0005_s1,0.29867568631578945,0.3,,57,1,-2.552354431578947
0.00031582719736842106,10.034302300000002,0.0005,3.241732122807018e-05,,mu0.3_T0.0005_s2,0.454862798245614,0.3,,57,2,-4.565591054385965
0.0003119813243859649,10.280409096491228,0.0005,3.785540452631579e-05,,mu0.3_T0.0005_s3,0.39072737578947364,0.3,,57,3,-4.013854973684211
0.00031509670175438594,10.072639843859648,0.001,7.434743085964912e-05,,mu0.3_T0.001_s1,0.3121451835087719,0.3,,57,1,-3.143612214035088
0.0003139283971929825,10.147312964912283,0.001,7.555973617543862e-05,,mu0.3_T0.001_s2,0.30618903210526316,0.3,,57,2,-3.1075599280701756
0.00031642446824561404,9.987631833333333,0.001,7.01778512982456e-05,,mu0.3_T0.001_s3,0.30863954754385964,0.3,,57,3,-3.082543363157895
0.0003167091822807018,9.969798573684212,0.003,0.00018646138771929823,,mu0.3_T0.003_s1,0.2916043814035088,0.3,,57,1,-2.9071448228070174
0.0003177172410526315,9.906516147368423,0.003,0.00018568922578947368,,mu0.3_T0.003_s2,0.28116595964912283,0.3,,57,2,-2.785418601754386
0.0003172978122807017,9.932794029824562,0.003,0.00018319342754385964,,mu0.3_T0.003_s3,0.28814073,0.3,,57,3,-2.862366992982456
0.00031922910315789475,9.813001294736843,0.008,0.00039444281263157895,,mu0.3_T0.008_s1,0.25778279000000004,0.3,,57,1,-2.5295896368421054
