Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.008,0.0010383997666666665,3.4479074074074076,3.0111530973970844,0.03695725868336278,0.16014284573195242,0.1412768633152524,0.05887327355811829,0.011153097397084305,0.7552907189417141,0.4367543100103233,9.930448869753228,E1.0e4_mu1.0_T0.008_s2,1.0,0.6367556375260398,2
0.008,0.0010570016000000001,3.444888888888889,3.012392411155327,0.04921743442323883,0.18486010133126843,0.16700465813177132,0.054499340810288725,0.012392411155327054,0.7605327155566446,0.43249647773356203,9.854165813074443,E1.0e4_mu1.0_T0.008_s3,1.0,0.6335502438036373,3
0.001,7.499617866666666e-05,3.8649135802469137,3.064093661528076,0.043119091644854474,0.16188148145448025,0.1356842556098499,0.05100572885451736,0.06409366152807605,0.69981952650463,0.8008199187188376,9.31995086153311,E1.0e5_mu0.1_T0.001_s1,0.1,0.671255084132834,1
0.001,7.459383499999999e-05,3.839030864197531,3.0672849327605753,0.048674505385707986,0.18708087296781623,0.1558208902511801,0.05410732214308265,0.06728493276057528,0.7273774899510919,0.7717459314369557,9.63218071012365,E1.0e5_mu0.1_T0.001_s2,0.1,0.6539896755763477,2
0.001,7.053408233333333e-05,3.8600370370370363,3.063575471173185,0.04507023972214674,0.17163165399926836,0.14060498718277797,0.05362393359671552,0.06357547117318492,0.7117871543364932,0.7964615658638512,9.35910624690177,E1.0e5_mu0.1_T0.001_s3,0.1,0.6637288334282606,3
0.003,0.00019311422333333333,3.8945,3.0810776559718756,0.03562321920634685,0.14125590924115036,0.1134688235067997,0.04828213698725233,0.08107765597187533,0.6936888692756885,0.8134223440281243,9.391926539168471,E1.0e5_mu0.1_T0.003_s1,0.1,0.6751266196924224,1
0.003,0.00017619512333333335,3.9230000000000005,3.076838257838681,0.037818934446186045,0.14581673061209652,0.1242896700653126,0.044471719573615606,0.07683825783868088,0.6950568318223573,0.8461617421613195,9.462568686936873,E1.0e5_mu0.1_T0.003_s2,0.1,0.6742625870134816,2
0.003,0.00017586322333333333,3.914333333333334,3.0757441268566073,0.03879076740457809,0.1529404017023204,0.1277724944143959,0.05331430380106272,0.07574412685660706,0.6947620858206963,0.8385892064767266,9.50682924490347,E1.0e5_mu0.1_T0.003_s3,0.1,0.6744482405070343,3
0.008,0.00047827401666666663,3.942876543209877,3.1164916862016603,0.041052397685420135,0.10493244922831461,0.08680005861326179,0.022613666990742638,0.11649168620166013,0.6775865464739307,0.8263848570082168,9.274848567020484,E1.0e5_mu0.1_T0.008_s1,0.1,0.685345289870532,1
0.008,0.0004623123266666667,3.9272283950617286,3.1147116483134574,0.03379805579060203,0.12091104738202801,0.1005103631768326,0.03482783473045402,0.11471164831345716,0.6929552343057395,0.8125167467482712,9.287119655247915,E1.0e5_mu0.1_T0.008_s2,0.1,0.6755911154776075,2
