Tgran,Theta,label,mean_lifetime,mean_rate,mean_reorient,mu_g,n_episodes,seed
0.0005,9.935864566666668e-05,mu1.0_T0.0005_s3,0.20654377880184333,0.00991021132876834,0.001189676088177997,1.0,4340,3
0.002,0.0002994390033333333,mu1.0_T0.002_s1,0.18979223433242506,0.013719164865954887,0.0014729398206938598,1.0,8808,1
0.002,0.0002806318299999999,mu1.0_T0.002_s2,0.1909928162532271,0.013796590994915647,0.0014905892281240458,1.0,8909,2
0.002,0.0003115033,mu1.0_T0.002_s3,0.20021145209580837,0.013692661002890169,0.0014943920494129472,1.0,8016,3
0.006,0.0006402560266666667,mu1.0_T0.006_s1,0.20155025494167772,0.016994509031664516,0.0018486703196045836,1.0,14317,1
0.006,0.0006538924766666667,mu1.0_T0.006_s2,0.2026313620440964,0.01715403749146929,0.001911529204597189,1.0,14559,2
0.006,0.0006594694766666667,mu1.0_T0.006_s3,0.21009537157311822,0.01686994021075687,0.0019298234914197998,1.0,14627,3
0.015,0.0015344056000000002,mu1.0_T0.015_s1,0.19116779414283266,0.023477680548734784,0.002665430578514045,1.0,23356,1
0.015,0.0015244264999999997,mu1.0_T0.015_s2,0.19141360378860903,0.023622046035921964,0.0026684016425823297,1.0,23861,2
0.015,0.0015919518666666667,mu1.0_T0.015_s3,0.1851451540866458,0.024468336294656178,0.0027118676550710505,1.0,24629,3
