mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon
0.0,0.08,3,0.009850789600000001,0.13646723444570083,0.0,0.026626526023970358,0.01886255072594594,0.0,8.953705956867228,0.7590803953176903,0.6344461677265998,10917.0
0.0,0.12,1,0.015032898002994014,0.13483413417861712,0.0,0.027371355585283252,0.017573355488695246,0.0,9.490962092964306,0.7727182188904241,0.6261508363828466,10385.7
0.0,0.12,2,0.015069973901197605,0.1375363011798002,0.0,0.02665085964208061,0.01919457414150385,0.0,9.405115979667475,0.7756286354287347,0.624386348376789,10424.7
0.0,0.12,3,0.015069464562874252,0.13589410229976367,0.0,0.02620489448808818,0.019093138025618427,0.0,9.446085918336129,0.7721411487731404,0.6264930787773932,10419.0
0.0,0.2,1,0.02599273312275449,0.11563108314137611,0.0,0.02529166522292583,0.01325202707451301,0.0,10.177899697426628,0.8063030176776073,0.6060345470508348,9585.0
0.0,0.2,2,0.02615117640419162,0.1198634033443577,0.0,0.026429106949042585,0.013525362824883147,0.0,10.15440554128708,0.8049225318779417,0.6068457970522798,9533.5
0.0,0.2,3,0.026042767895209585,0.12523253288754377,0.0,0.027131664829864344,0.01461251060881466,0.0,10.261623914182174,0.8026472133630118,0.6081962152184162,9563.8
0.0,0.3,1,0.04087971859281437,0.11179960560248547,0.0,0.024976936629987883,0.012289598717750979,0.0,11.053624403279304,0.835385549159487,0.5889770256048974,8763.0
0.0,0.3,2,0.04071735210778443,0.11279345021206458,0.0,0.023170954402609252,0.014426865312042078,0.0,11.142608441080899,0.8382306287229193,0.5873387196103429,8811.3
0.0,0.3,3,0.04074518835628743,0.11495901523937872,0.0,0.02556164651502892,0.012758026659657473,0.0,11.060661708884101,0.8412415909654589,0.5856023811359445,8790.1
0.0,0.5,1,0.07266736395209582,0.09944580109640294,0.0,0.024070161397521543,0.009078437963113384,0.0,12.80652708676855,0.889290713290136,0.5584146308558233,7678.9
0.0,0.5,2,0.07273614215269462,0.10120503045353128,0.0,0.024839131245643287,0.008895877089767839,0.0,12.724981430112535,0.8922739731457974,0.5567637925392066,7703.1
0.0,0.5,3,0.07293967339820359,0.09987302405637954,0.0,0.023489608868547802,0.009801400632092753,0.0,12.804618918659191,0.8865119875140772,0.5599630888174743,7680.9
0.15,0.0005,1,3.198865403293413e-05,0.45497596558877695,0.018105198801854596,0.05860558498366988,0.08701800400373168,0.06752827883724774,7.968184971398593,0.840783432285232,0.5861550383814873,11080.9
0.15,0.0005,2,0.00015018434722455088,0.4382839469754593,0.014808034085234636,0.059221984265772645,0.0819366540850091,0.13185329450525002,6.324507007188806,0.870236445377673,0.5696710825837679,10722.0
0.15,0.0015,1,6.690623151796407e-05,0.40856321154181596,0.022816360313190103,0.052747522364316624,0.0758347619218054,0.07540663176886521,9.151840562297206,0.8472020224319918,0.5821871191904173,11121.7
0.15,0.0015,2,6.79454562754491e-05,0.40317437318123134,0.022106433846776706,0.05061874926941144,0.07640389748154364,0.0772048165383834,8.920066474966404,0.8496962969124381,0.5807497978224145,11112.1
0.15,0.001,1,4.880055841017964e-05,0.41566459231567476,0.02357157483138792,0.052571563319641836,0.07812610947614515,0.07665129224086478,9.15225888641211,0.8529937733735332,0.5788776004232028,11017.5
0.15,0.001,2,5.033252883233533e-05,0.4132656017239268,0.023473889897305138,0.053405687106439316,0.07652488329244016,0.07641996629499903,9.084831765759889,0.84775175776106,0.5818501736324796,10973.9
0.15,0.003,1,0.00012589551829341318,0.3843340475741285,0.01643428687041687,0.0485778883242439,0.07405536479542238,0.08952955258675477,8.842748560651248,0.8489181477980156,0.5811826814464287,11293.0
0.15,0.003,2,0.0001261959980239521,0.37175709008897645,0.01603029133473212,0.04720955615345217,0.07136604197503069,0.08781588715245256,8.783975314155539,0.841040087139319,0.5857365135686331,11278.6
0.15,0.005,1,0.00018671544260479041,0.3552510453147763,0.012571807799821023,0.046740550448713405,0.0674858628001637,0.09967610958883229,8.748719419792648,0.8197331167631363,0.5981143501569347,11504.6
0.15,0.005,2,0.0001901644275748503,0.34031450469512814,0.012154942102065705,0.04356834546555325,0.06581817498190175,0.10463836779301994,8.57739430620193,0.8216127873281447,0.5970009562193895,11491.2
0.15,0.008,1,0.00028378699344311375,0.3214487058844846,0.008039704737166623,0.042462039301759166,0.062007629069366944,0.12238917839858487,8.443955915339899,0.8045275079491419,0.6071018777513014,11661.4
0.15,0.008,2,0.0002858385303892216,0.31483648681927767,0.008643110585621585,0.04186525733464249,0.060199201530004166,0.12306251992916972,8.520880458924204,0.8102669841174979,0.603686028180882,11676.1
0.15,0.013,1,0.0004293658124251496,0.2808420776713137,0.004779753349847438,0.03801491266374206,0.05400586210319249,0.14936090093835416,8.396831912876246,0.786678208864928,0.617726561537278,11887.7
0.15,0.013,2,0.00042445138745508983,0.29230898848689646,0.004318175461078353,0.04058780722562651,0.05540913046810003,0.15096935759471616,8.414129945220514,0.7935993836944001,0.6135914422549582,11904.8
