Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.0005,0.00010288684833333333,2.7701851851851846,3.016020597815337,0.08965748992144208,0.21998414384443157,0.19880471551462015,0.013297209499797425,0.01602059781533708,0.7533767965081654,-0.2458354126301523,2.5471032058139937,mu1.0_T0.0005_s3,1.0,0.6379310649010038,3
0.002,0.00027175011,2.8325802469135803,3.02683314599769,0.06794544387477322,0.1868133967030114,0.175638495188721,0.024398717339731583,0.026833145997689697,0.788042037705427,-0.19425289908410948,2.582423556514365,mu1.0_T0.002_s1,1.0,0.6169119381619921,1
0.002,0.00028548532333333334,2.885814814814815,3.026546944041314,0.06862056839829567,0.19263328101260277,0.17137597320170175,0.024110804444025753,0.02654694404131406,0.7680099764026022,-0.14073212922649914,2.5260875714977318,mu1.0_T0.002_s2,1.0,0.6290037350618367,2
0.002,0.00027135311333333333,2.8853086419753087,3.0253078931599835,0.07801306095535879,0.19767363919384898,0.18286236190470415,0.017621390547674448,0.025307893159983583,0.7970774770053476,-0.13999925118467482,2.402190730843217,mu1.0_T0.002_s3,1.0,0.6115202406672391,3
0.006,0.0006428156266666667,2.9987777777777778,3.0385101610018475,0.055709321873304435,0.13653055098150335,0.12582814388936633,0.014448263701273079,0.03851016100184747,0.7502067488216496,-0.03973238322406969,2.4579911886527066,mu1.0_T0.006_s1,1.0,0.6398954413618715,1
0.006,0.0006548143033333334,2.9934074074074073,3.0382586777498997,0.052772307420419655,0.15271488945932513,0.12993424716982122,0.02598158972882971,0.0382586777498997,0.7335859454283132,-0.044851270342492366,2.4228135758542035,mu1.0_T0.006_s2,1.0,0.6501513862116182,2
0.006,0.00066006782,2.9730617283950616,3.040076122019981,0.07664106373331939,0.17113378631773227,0.15283714743491525,0.014766885132466065,0.04007612201998066,0.7425562445146867,-0.06701439362491923,2.3277853178088526,mu1.0_T0.006_s3,1.0,0.6446079225835799,3
0.015,0.0015079637,2.8768641975308644,3.0592836259145773,0.06784006276167218,0.12906595271642207,0.12175251853953852,0.026003138728931133,0.05928362591457711,0.7623617391604588,-0.18241942838371283,2.5506728736006217,mu1.0_T0.015_s1,1.0,0.6324642953956983,1
0.015,0.0016475582333333333,2.8447654320987654,3.060272287885271,0.04962381426635689,0.10483889544912073,0.09843955430915134,0.018791984259952998,0.060272287885271274,0.756826465168929,-0.21550685578650564,2.5113276146895296,mu1.0_T0.015_s2,1.0,0.6358453876592529,2
0.015,0.0016531354666666665,2.8335555555555554,3.0614739402545874,0.06668932559339932,0.11638153423181463,0.11024200942892906,0.03302972222239013,0.06147394025458726,0.7704344999995885,-0.22791838469903203,2.496271722118816,mu1.0_T0.015_s3,1.0,0.6275470403094239,3
0.0005,0.00013087294333333333,2.6590493827160495,3.0072097159388456,0.07820793878215557,0.18123918109555281,0.1555454348327023,0.01563192281083723,0.007209715938845357,0.7230706927763829,-0.34816033322279605,2.8626022264339603,mu2.0_T0.0005_s1,2.0,0.6566783137214933,1
0.0005,0.00014458641,2.6067283950617286,3.0070104231608767,0.06810799766435031,0.18228714503546795,0.16382618680400846,0.018897850295607307,0.0070104231608768205,0.7380238984439816,-0.40028202809914815,2.8200809728613816,mu2.0_T0.0005_s2,2.0,0.6473976155306274,2
0.0005,0.00013091001,2.6126543209876543,3.007290545561433,0.05861348332224165,0.13869536250109607,0.11793085575063278,0.01735153742611157,0.007290545561433112,0.7495846108728986,-0.3946362245737789,2.8643620204182723,mu2.0_T0.0005_s3,2.0,0.6402615719682757,3
0.002,0.0003639972433333333,2.6949506172839506,3.0118984387160452,0.0677087526110545,0.16737212736008225,0.15471871383955313,0.016691411104015074,0.01189843871604516,0.754267807941272,-0.31694782143209466,2.795542749876433,mu2.0_T0.002_s1,2.0,0.637394805715606,1
0.002,0.0003437649,2.689679012345679,3.012175248648569,0.06253447885877474,0.18385041945600306,0.15740675111831942,0.02946019855957705,0.012175248648568813,0.7500804930411176,-0.3224962363028898,2.677797024326593,mu2.0_T0.002_s2,2.0,0.6399622784961634,2
0.002,0.00034937530333333335,2.719716049382716,3.012136917629802,0.062150377586339185,0.13532393190785463,0.12158935241726626,0.01538809762692241,0.01213691762980194,0.7491590579765506,-0.2924208682470857,2.718852751113321,mu2.0_T0.002_s3,2.0,0.640524681028323,3
0.006,0.0007330555499999999,2.829320987654321,3.0194104131502955,0.06020603283213646,0.1323339545800317,0.12087532352885613,0.01656338354840287,0.019410413150295285,0.747118668361533,-0.1900894254959744,2.595123085176736,mu2.0_T0.006_s1,2.0,0.6417886044916525,1
0.006,0.0007499463966666667,2.8385432098765433,3.0197967060555833,0.06158980988780608,0.1473928016913442,0.13765199354391736,0.015113361002417306,0.01979670605558311,0.76479185841111,-0.18125349617903996,2.5147818575162337,mu2.0_T0.006_s2,2.0,0.6309703357002077,2
0.006,0.0007619519566666666,2.824691358024691,3.0198714787853325,0.06698055357035003,0.14882854154828964,0.13610292830969803,0.015281832017462063,0.01987147878533245,0.7538896843642392,-0.19518012076064162,2.529954622637287,mu2.0_T0.006_s3,2.0,0.6376303798986077,3
0.015,0.0015427815666666667,2.790506172839506,3.030508959518636,0.06367739952188212,0.11773359071563973,0.115352230188075,0.02828504045574356,0.03050895951863571,0.7697566727713036,-0.2400027866791299,2.5711402020476632,mu2.0_T0.015_s1,2.0,0.627970014186149,1
