I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.0009209090252631579,2.19112376245614,0.0002,8.647463228070175e-05,0.17183356991935123,mu0.01_T0.0002_s1,0.11017732105263157,0.01,5736.388888888889,57,1,-0.2578854452175438
0.0009626792642105263,1.933922251754386,0.0002,8.346523915789474e-05,0.1689427428834693,mu0.01_T0.0002_s2,0.10782841931578947,0.01,5580.333333333333,57,2,-0.22742980347368424
0.0010231904178947366,1.9077496984210527,0.0002,8.289474478947369e-05,0.16918331584387508,mu0.01_T0.0002_s3,0.09816463103508773,0.01,5764.333333333333,57,3,-0.21000399008771933
0.0007116993461403509,1.9744793631578945,0.0005,0.00010568479647368422,0.04722650305798521,mu0.01_T0.0005_s1,0.12361181722807019,0.01,7628.444444444444,57,1,-0.24407366333333336
0.0007155323803508773,1.9534620192982455,0.0005,0.00011097414182456141,0.050079151033475516,mu0.01_T0.0005_s2,0.12176286859649121,0.01,7629.166666666667,57,2,-0.23783883263157893
0.0007108262340350877,1.9794102122807018,0.0005,9.869360515789471e-05,0.045237404572785696,mu0.01_T0.0005_s3,0.12457753935087719,0.01,7606.111111111111,57,3,-0.24664710631578945
0.0007115056640350877,1.9753947245614034,0.002,0.0003549451496491228,0.04127516923313602,mu0.01_T0.002_s1,0.09498296996491228,0.01,7275.277777777777,57,1,-0.1876251254385965
0.0007074753077192983,1.998018896491228,0.002,0.00035633163350877196,0.047082504283174016,mu0.01_T0.002_s2,0.1133442533508772,0.01,7256.166666666667,57,2,-0.22663756543859648
0.0007112026564912279,1.97710220877193,0.002,0.00035491821578947366,0.044413436828368,mu0.01_T0.002_s3,0.10668185678947369,0.01,7242.833333333333,57,3,-0.2109092405263158
0.0007081024615789474,1.994471384210526,0.006,0.0010867156719298245,0.050678338880232814,mu0.01_T0.006_s1,0.1006545598245614,0.01,6632.333333333333,57,1,-0.20073334421052633
0.0007138685640350878,1.96241801754386,0.006,0.0010779366701754386,0.05299384948365119,mu0.01_T0.006_s2,0.09743190363157894,0.01,6622.0,57,2,-0.1912026945614035
0.0007084326529824561,1.9928371315789475,0.006,0.0010745584070175438,0.04707871768187642,mu0.01_T0.006_s3,0.09134080496491227,0.01,6650.555555555556,57,3,-0.18230067368421055
0.0007090131107017544,1.9894599280701757,0.015,0.0028651272578947367,0.05484986563088355,mu0.01_T0.015_s1,0.09306744689473684,0.01,5775.777777777777,57,1,-0.18524624929824562
0.0007093761566666666,1.9874450754385964,0.015,0.00289709540877193,0.05224478774339681,mu0.01_T0.015_s2,0.08911720833333334,0.01,5766.777777777777,57,2,-0.17712291245614034
0.0007136969005263158,1.963399896491228,0.015,0.002915587794736842,0.05003498278192621,mu0.01_T0.015_s3,0.08894129396491228,0.01,5749.277777777777,57,3,-0.17465194596491226
0.0007044285515789472,2.015495396491228,0.03,0.006245886314035088,0.053212685523251396,mu0.01_T0.03_s1,0.08307856261403508,0.01,4904.333333333333,57,1,-0.16742008929824564
0.0007091424157894738,1.988926012280702,0.03,0.00637375858245614,0.05496837046107415,mu0.01_T0.03_s2,0.0815602221754386,0.01,4873.0,57,2,-0.16207253001754388
0.0007099074803508772,1.9847331859649122,0.03,0.006370756768421052,0.04734972483227359,mu0.01_T0.03_s3,0.073353881877193,0.01,4867.277777777777,57,3,-0.1455677666140351
0.0007114808478947367,1.976062278947368,0.045,0.010214950928070175,0.046087244938454036,mu0.01_T0.045_s1,0.06721947485964912,0.01,4286.277777777777,57,1,-0.1328098622105263
0.0007122367828070175,1.9716796122807019,0.045,0.010226925473684208,0.04967851082997506,mu0.01_T0.045_s2,0.06665007684210526,0.01,4269.444444444444,57,2,-0.13146332266666666
0.0007132912656140349,1.9659264070175437,0.045,0.010229314196491228,0.050990919764320956,mu0.01_T0.045_s3,0.0721679425263158,0.01,4233.611111111111,57,3,-0.14194551070175437
0.0011186461449122808,1.6294083421052632,0.0002,6.2503028e-05,0.20077545302839458,mu0.03_T0.0002_s1,0.1263449106140351,0.03,5318.722222222223,57,1,-0.21307522335087717
0.0009608249882456141,2.025126981754386,0.0002,6.579533833333333e-05,0.2680668617550701,mu0.03_T0.0002_s2,0.10852195243859648,0.03,5120.666666666667,57,2,-0.2351166397017544
0.0010027230671929826,1.8985229061403506,0.0002,6.148444549122806e-05,0.22587645068650367,mu0.03_T0.0002_s3,0.11131293594736841,0.03,5193.555555555556,57,3,-0.22837412794736844
0.0007102854301754386,1.9824138666666666,0.0005,7.757816491228068e-05,0.04424917230643856,mu0.03_T0.0005_s1,0.12205395421052631,0.03,7583.611111111111,57,1,-0.2419237612280702
0.000708372448245614,1.9931233456140351,0.0005,7.726030345614037e-05,0.04785883558202509,mu0.03_T0.0005_s2,0.11355675787719298,0.03,7634.777777777777,57,2,-0.22632151701754386
0.0007121151670175438,1.9722982052631581,0.0005,7.958659940350877e-05,0.04658100651702136,mu0.03_T0.0005_s3,0.12216836666666668,0.03,7584.611111111111,57,3,-0.24086524561403505
