mu_g,Tgran,seed,mu,Theta,A_c,A_n
0.4,0.0005,3,0.2957213172222222,5.079840596296297e-05,0.0397744765977682,0.08308915135296588
0.4,0.001,1,0.33207051481481475,8.474096879629628e-05,0.05061196029049542,0.08780821800350265
0.4,0.001,2,0.33230606388888895,8.204321675925929e-05,0.05208909134085829,0.08704134584448031
0.4,0.001,3,0.31959764592592593,8.860531237037037e-05,0.046137448130657004,0.0855025932834545
0.4,0.003,1,0.3158223979629629,0.0002082751420370371,0.0474602270491052,0.08616249295424278
0.4,0.003,2,0.30985378055555557,0.0002211081568518519,0.04673702842526752,0.08319865002030584
0.4,0.003,3,0.30219902018518524,0.00021369590722222223,0.044499343756102705,0.08284631285694076
0.4,0.008,1,0.27722115370370365,0.0004519231077777777,0.040845173088085156,0.07794152446234696
0.4,0.008,2,0.28662700907407407,0.00044276859351851847,0.040887859284622914,0.08699367513845921
0.4,0.008,3,0.27430906129629623,0.00045038474833333325,0.03925050566738572,0.07984630824160314
0.4,0.02,1,0.24940092555555557,0.0008300405355555555,0.03828244866823878,0.07393740292871412
0.4,0.02,2,0.23451879833333336,0.0008523394353703703,0.03608487269953299,0.06996327911587563
0.4,0.02,3,0.23130262425925924,0.0008745648624074074,0.03251299189680998,0.0705069320862404
0.5,0.0015,1,0.33773140592592593,0.00014305550185185186,0.053591477010377746,0.08264018090241827
0.5,0.0015,2,0.3354267496296296,0.00013366637314814818,0.05086080046161514,0.08583698481802667
0.5,0.0015,3,0.32090984629629626,0.00013797419555555554,0.048307812476345836,0.08506344660297967
0.5,0.005,1,0.32061618537037034,0.0003601415096296295,0.04782564560913214,0.08788269993738855
0.5,0.005,2,0.32395938407407415,0.00033026782425925924,0.05003389976614276,0.08746273753319414
0.5,0.005,3,0.3057452425925926,0.0003485381966666666,0.04567077178381584,0.08417039207517718
0.5,0.013,1,0.29168497055555553,0.0007064896907407408,0.046053389930628776,0.0819527829385829
0.5,0.013,2,0.2850952812962963,0.0007139415575925927,0.04184164833088992,0.07956100773880428
0.5,0.013,3,0.27984013703703703,0.0007040964611111114,0.03822389505084971,0.08159753388531203
0.5,0.03,1,0.24586087888888888,0.001295751944444445,0.03946877014075527,0.07033392928319823
0.5,0.03,2,0.22499074388888887,0.0012699210685185188,0.03646108555702753,0.06840234299271203
0.5,0.03,3,0.23079636370370368,0.0012817866148148145,0.034378128443830196,0.07096436276054967
0.6,0.0005,1,0.3429769062962964,6.101688085185185e-05,0.05564413319976732,0.08162609953543266
0.6,0.0005,2,0.41580965462962965,5.2881961000000006e-05,0.06330097264054708,0.10312522564045243
0.6,0.0005,3,0.3460361744444445,5.9680092259259265e-05,0.05074392711852496,0.08940385830559733
0.6,0.001,1,0.3300994596296296,0.00011351357944444443,0.053074270706696805,0.08452960292882905
0.6,0.001,2,0.3524686498148148,0.00010726360296296296,0.05481103500650537,0.08822246777898085
0.6,0.001,3,0.3367789290740741,0.00010857982057407404,0.05059069791328577,0.08383719656817228
0.6,0.003,1,0.3213205457407408,0.0002663687935185185,0.04940414824627406,0.08252150894332907
0.6,0.003,2,0.3108046418518519,0.00026354291166666666,0.046657653370282146,0.0833384798871762
0.6,0.003,3,0.3102349290740741,0.0002681755679629629,0.045251378207962274,0.08392086370347791
0.6,0.008,1,0.30144052333333343,0.000550296700925926,0.04877362518359328,0.08111815868877738
0.6,0.008,2,0.31126906259259257,0.0005556796812962963,0.04723803969009111,0.08550025398993605
0.6,0.008,3,0.3119680387037037,0.0005596179477777777,0.04590793196693796,0.08577836887229742
0.6,0.02,1,0.28683357833333334,0.0010643279877777777,0.04454502769314822,0.08020910694083769
0.6,0.02,2,0.27906405907407406,0.0010526752966666666,0.041355896900874684,0.08011237365293117
0.6,0.02,3,0.2588164322222222,0.0010757626787037038,0.036213120404980946,0.07886136109410008
0.8,0.0005,1,0.3584532601851852,6.866673349999999e-05,0.05780817930558333,0.08338368261343222
0.8,0.0005,2,0.3473908988888889,7.024882940740741e-05,0.05490502671918733,0.08263762841417532
0.8,0.0005,3,0.36033771277777765,7.3172068e-05,0.05676677584212956,0.083935155538375
0.8,0.001,1,0.35266964185185184,0.00012682847407407408,0.056003971970354526,0.088062336793262
0.8,0.001,2,0.3490670575925926,0.00012274502648148145,0.05504185282862884,0.08529077096865312
0.8,0.001,3,0.3414245100000001,0.00013054350648148148,0.0506388034097688,0.08582375305924743
0.8,0.003,1,0.3353804042592593,0.00030576067314814814,0.052200022469835745,0.08454479449512933
0.8,0.003,2,0.3337012822222221,0.000292441770925926,0.05613479199670474,0.08427025168176717
0.8,0.003,3,0.31474317925925926,0.00030144569314814816,0.043309408942888594,0.0835950285060037
0.8,0.008,1,0.3175192881481481,0.0006183529412962962,0.046056638240182995,0.08626446922097118
0.8,0.008,2,0.3397536262962963,0.0006152593961111111,0.04974535687856971,0.09015408725404174
0.8,0.008,3,0.30848102111111114,0.0006352281103703704,0.044382145375916546,0.08217512061088816
0.8,0.02,1,0.2962324283333333,0.0011970657166666667,0.04509776475837317,0.0847193571605228
0.8,0.02,2,0.3031597740740741,0.0011766339777777779,0.04759543397311177,0.08288768621365215
0.8,0.02,3,0.28869669981481483,0.0011865895925925924,0.0407727919536716,0.08286667471722453
1.0,0.0015,1,0.3176642007407408,0.00021417160962962963,0.052245086180090404,0.07405338007323398
1.0,0.0015,2,0.3493887396296296,0.00020218517722222218,0.05208985132420482,0.08763795802966388
1.0,0.0015,3,0.3261665590740741,0.00020184637351851852,0.05111014775538874,0.08107003151993195
1.0,0.005,1,0.3189253272222223,0.0005012641327777778,0.04783656998068207,0.0851160305498611
1.0,0.005,2,0.3400592887037038,0.0005083193729629629,0.053750783186262294,0.08323862553603704
1.0,0.005,3,0.306688822037037,0.0005036024240740742,0.0474107588558538,0.0796902588071821
1.0,0.013,1,0.31401981796296297,0.0010002544216666668,0.04672151495378057,0.08796318526481788
1.0,0.013,2,0.30979434962962965,0.0009789362457407408,0.04794814901753429,0.08175125749658017
1.0,0.013,3,0.3225773759259259,0.001002948514814815,0.049279260871581354,0.0827192894685737
1.0,0.03,1,0.2824078222222222,0.0017631008555555555,0.04483193026525096,0.0788399425173907
1.0,0.03,2,0.2876974025925926,0.0016402394555555552,0.04394979050227306,0.08074062111233116
1.0,0.03,3,0.2846819455555555,0.0017513428666666667,0.04283649599485286,0.0782666699748528
1.5,0.0005,1,0.35068526555555574,0.00010355213983333334,0.058091994588550716,0.08027575666922403
1.5,0.0005,2,0.3445586174074074,0.00011275432724074074,0.052796264033410326,0.08350053441858009
1.5,0.0005,3,0.3470959542592592,0.00011070805749999997,0.055246956973877784,0.07965996033737367
1.5,0.001,1,0.34884771425925926,0.00018057424092592596,0.05721689018196725,0.07642067632837223
1.5,0.001,2,0.3198147074074073,0.00018801640055555555,0.050187124943002794,0.07585416032974514
1.5,0.001,3,0.3447838331481482,0.00016717789759259258,0.05276915262220683,0.08270839982227716
1.5,0.003,1,0.3362621205555556,0.00037556505833333335,0.055680667413542266,0.07775526610023273
1.5,0.003,2,0.3287067033333333,0.00038707374111111105,0.054361254491706514,0.07898277206303893
1.5,0.003,3,0.34374732462962965,0.000407674643888889,0.055674708054033566,0.08561872043356485
1.5,0.008,1,0.33173640499999996,0.0007565370614814816,0.05565095912152775,0.07979667844489785
1.5,0.008,2,0.31597064518518525,0.0007947916375925928,0.05325124043030285,0.0765591493451371
1.5,0.008,3,0.3187495533333333,0.0008260739653703704,0.05580972324391959,0.0811536435153442
