Tgran,Theta,label,mean_persist,median_persist,mu_g,n_episodes,seed
0.015,0.0030931479000000004,mu0.0_T0.015_s1,0.17300251696562274,0.09,0.0,31387,1
0.015,0.0031416195333333337,mu0.0_T0.015_s2,0.17068119374703927,0.09,0.0,31665,2
0.015,0.0031506536666666665,mu0.0_T0.015_s3,0.16936240133337524,0.09,0.0,31799,3
0.0005,4.8645029333333335e-05,mu0.1_T0.0005_s1,0.23080868761552678,0.09,0.1,3246,1
0.0005,5.0003802e-05,mu0.1_T0.0005_s2,0.2207002617801047,0.09,0.1,3056,2
0.0005,4.938309499999999e-05,mu0.1_T0.0005_s3,0.21473333333333333,0.09,0.1,3150,3
0.002,0.00018725833999999998,mu0.1_T0.002_s1,0.23586495775454677,0.105,0.1,6983,1
0.002,0.00019352935000000002,mu0.1_T0.002_s2,0.24826038903625108,0.105,0.1,6786,2
0.002,0.00020119064333333332,mu0.1_T0.002_s3,0.24628402602576016,0.105,0.1,7531,3
0.006,0.0006603176166666666,mu0.1_T0.006_s1,0.23797153725078699,0.105,0.1,15248,1
0.006,0.0006809494633333333,mu0.1_T0.006_s2,0.23419000856785077,0.105,0.1,15173,2
0.006,0.0006959953066666666,mu0.1_T0.006_s3,0.236430951746201,0.105,0.1,15004,3
0.015,0.0019999485,mu0.1_T0.015_s1,0.18926888338553427,0.09,0.1,27458,1
0.015,0.0020670001333333334,mu0.1_T0.015_s2,0.19173194546794398,0.09,0.1,27140,2
0.015,0.0019867725,mu0.1_T0.015_s3,0.18859223300970873,0.09,0.1,27501,3
0.0005,6.332676933333332e-05,mu0.3_T0.0005_s1,0.19141232575201758,0.09,0.3,4089,1
0.0005,5.949680133333334e-05,mu0.3_T0.0005_s2,0.19470655487804878,0.09,0.3,3936,2
0.0005,6.141615833333334e-05,mu0.3_T0.0005_s3,0.19285052739902236,0.09,0.3,3887,3
0.002,0.0001814764,mu0.3_T0.002_s1,0.22725477707006367,0.09,0.3,7065,1
0.002,0.00017901920000000003,mu0.3_T0.002_s2,0.21967178770949722,0.09,0.3,6444,2
0.002,0.00018882600666666666,mu0.3_T0.002_s3,0.21163449848024313,0.09,0.3,6580,3
0.006,0.0005308647866666666,mu0.3_T0.006_s1,0.2233584695393759,0.105,0.3,13460,1
0.006,0.0005218262599999999,mu0.3_T0.006_s2,0.2267009469108972,0.105,0.3,12884,2
0.006,0.00053217769,mu0.3_T0.006_s3,0.23140669617361506,0.105,0.3,14008,3
0.015,0.0015348331,mu0.3_T0.015_s1,0.20033562433122065,0.09,0.3,24298,1
0.015,0.0015325774666666667,mu0.3_T0.015_s2,0.20017311567087465,0.09,0.3,24319,2
0.015,0.0015673963333333334,mu0.3_T0.015_s3,0.19292712798530312,0.09,0.3,24495,3
0.0005,0.00010466907666666666,mu1.0_T0.0005_s1,0.2142444393487732,0.075,1.0,4361,1
0.0005,0.00011082528666666668,mu1.0_T0.0005_s2,0.19961417816813048,0.075,1.0,4782,2
0.0005,9.935864566666668e-05,mu1.0_T0.0005_s3,0.20654377880184333,0.09,1.0,4340,3
0.002,0.0002994390033333333,mu1.0_T0.002_s1,0.18979223433242506,0.09,1.0,8808,1
0.002,0.0002806318299999999,mu1.0_T0.002_s2,0.1909928162532271,0.09,1.0,8909,2
0.002,0.0003115033,mu1.0_T0.002_s3,0.20021145209580837,0.09,1.0,8016,3
0.006,0.0006402560266666667,mu1.0_T0.006_s1,0.20155025494167772,0.09,1.0,14317,1
