label,mu_g,Tgran,seed,Emod,kt_kn,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
k3.0e4_mu0.3_T0.003_s2,0.3,0.003,2,100000.0,0.4095004095004095,44.98093270834988,81.0,0.13077896547070297,0.023042345564533932,12587,0.042028061736980656
k3.0e4_mu0.3_T0.003_s3,0.3,0.003,3,100000.0,0.4095004095004095,44.74216546537136,81.0,0.13114818210461235,0.023150507188897003,12764,0.040834745907254076
k3.0e4_mu0.3_T0.008_s1,0.3,0.008,1,100000.0,0.4095004095004095,37.61514236133428,11.0,0.15864416324836508,0.03150426994091454,15559,0.0338826148698092
k3.0e4_mu0.3_T0.008_s2,0.3,0.008,2,100000.0,0.4095004095004095,36.99019358125318,11.0,0.16002687907239116,0.03157546815770175,15704,0.03354945691046143
k3.0e4_mu0.3_T0.008_s3,0.3,0.008,3,100000.0,0.4095004095004095,37.702852004110994,11.0,0.16017102754495602,0.0314945873469652,15568,0.03137281060803699
k3.0e4_mu1.0_T0.001_s1,1.0,0.001,1,100000.0,0.4095004095004095,45.07476461265964,81.0,0.046398465744754216,0.006417561326695856,10727,0.1430690384097253
k3.0e4_mu1.0_T0.001_s2,1.0,0.001,2,100000.0,0.4095004095004095,48.326302238066944,81.0,0.04081846403903952,0.005731569122067873,10098,0.1536268483607118
k3.0e4_mu1.0_T0.001_s3,1.0,0.001,3,100000.0,0.4095004095004095,46.2695933720598,81.0,0.04704321194574761,0.006987365115039403,10501,0.13792092180556295
k3.0e4_mu1.0_T0.003_s1,1.0,0.003,1,100000.0,0.4095004095004095,37.106387798248264,10.0,0.05495811189564868,0.008135325585985589,13244,0.14255623333742137
k3.0e4_mu1.0_T0.003_s2,1.0,0.003,2,100000.0,0.4095004095004095,38.80882814954445,13.0,0.05581211303044688,0.007593389379778755,12732,0.13814825966639022
k3.0e4_mu1.0_T0.003_s3,1.0,0.003,3,100000.0,0.4095004095004095,39.0642604943115,13.0,0.057437754641596145,0.0071082241691673,12745,0.14093833230912253
k3.0e4_mu1.0_T0.008_s1,1.0,0.008,1,100000.0,0.4095004095004095,29.117557609077085,5.0,0.06927789643400288,0.01045692294095434,17098,0.114365685483743
k3.0e4_mu1.0_T0.008_s2,1.0,0.008,2,100000.0,0.4095004095004095,29.252671532846716,5.0,0.06952781389850975,0.010843354253501334,17125,0.12721998825635986
