label,mu_g,Tgran,seed,Emod,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
E1.0e6_mu0.3_T0.003_s2,0.3,0.003,2,1000000.0,42.0970460811343,30.0,0.16225752555580464,0.04828394040664494,12695,0.013498910032918976
E1.0e6_mu0.3_T0.003_s3,0.3,0.003,3,1000000.0,42.035660030382985,30.0,0.15862363983878028,0.04595807813748241,12507,0.012662622867189222
E1.0e6_mu0.3_T0.008_s1,0.3,0.008,1,1000000.0,34.743821656050955,10.0,0.18884691462841957,0.06044606748576478,15700,0.011880195215022121
E1.0e6_mu0.3_T0.008_s2,0.3,0.008,2,1000000.0,32.923774181773936,8.0,0.19067862677224245,0.06039530599536956,16438,0.011223341646805001
E1.0e6_mu0.3_T0.008_s3,0.3,0.008,3,1000000.0,33.34213104715248,9.0,0.19320815641764075,0.062237707010580796,16330,0.01107765728896752
E1.0e6_mu1.0_T0.001_s1,1.0,0.001,1,1000000.0,40.6183077499064,24.0,0.06585712334500003,0.014332920090514003,10684,0.0427792793998816
E1.0e6_mu1.0_T0.001_s2,1.0,0.001,2,1000000.0,42.91364353312303,44.0,0.05957690689068098,0.012910161813487213,10144,0.04710006946647493
E1.0e6_mu1.0_T0.001_s3,1.0,0.001,3,1000000.0,42.610774276910846,37.0,0.05717431405594366,0.010741602073210841,10061,0.045727052390115736
E1.0e6_mu1.0_T0.003_s1,1.0,0.003,1,1000000.0,35.64929407018959,9.0,0.06958329295335791,0.013286623079482114,12395,0.043242631677992825
E1.0e6_mu1.0_T0.003_s2,1.0,0.003,2,1000000.0,33.03407542026352,8.0,0.07167095024464984,0.014961673176725166,13206,0.04517490788803679
E1.0e6_mu1.0_T0.003_s3,1.0,0.003,3,1000000.0,34.860842188114916,9.0,0.06903446444427978,0.013790705497993936,12705,0.04476784440126563
E1.0e6_mu1.0_T0.008_s1,1.0,0.008,1,1000000.0,25.31657085449573,5.0,0.08452649016428017,0.018659735403893766,17917,0.03668466652180945
E1.0e6_mu1.0_T0.008_s2,1.0,0.008,2,1000000.0,26.71577822628517,5.0,0.0802777306032746,0.017915627902429485,16846,0.036723764914260756
E1.0e6_mu1.0_T0.008_s3,1.0,0.008,3,1000000.0,26.42877184778161,5.0,0.08265243144587672,0.018287301738266863,17107,0.03957969648669442
