mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.15,0.008,2,0.0002858385303892216,0.31828583921079423,0.3096738145878319,0.008612024622962339,0.04254776319292372,0.06067684131725721
0.15,0.013,1,0.0004293658124251496,0.2764501756270889,0.27177145550960896,0.004678720117479933,0.03744823163818976,0.053142253510397794
0.15,0.013,2,0.00042445138745508983,0.2941819533860807,0.289884402624152,0.004297550761928738,0.04028567232534723,0.056342461726480234
0.15,0.02,1,0.0006684710319461078,0.2568924754823078,0.25423638620735,0.0026560892749577895,0.036616439664207565,0.048129022799381735
0.15,0.02,2,0.0006399876229041916,0.25411998552470705,0.251131328763399,0.0029886567613080835,0.036095819478237555,0.047614622977811716
0.15,0.03,1,0.000987602659760479,0.2346126104093538,0.23307233027913565,0.0015402801302181678,0.03494435806257231,0.042746419178123246
0.15,0.03,2,0.001005112913982036,0.22693430593760555,0.22506813733724665,0.0018661686003588953,0.03284090979061888,0.04218180428634706
0.15,0.05,1,0.0017618757101796406,0.21063081637835884,0.20962491137632563,0.0010059050020331571,0.03294910799248368,0.0369258623461266
0.15,0.05,2,0.0017735656733532934,0.20798702347400438,0.20701800376214116,0.0009690197118632097,0.032860570772775696,0.0361454322994761
0.15,0.08,1,0.003186458166766467,0.18896398874617595,0.18773415201132376,0.0012298367348522105,0.03217570703342354,0.030402344020659965
0.15,0.08,2,0.0032268891101796403,0.18717490455314384,0.18649390982069142,0.0006809947324523932,0.029417809494184995,0.03274682638243594
0.15,0.12,1,0.005373152710778444,0.17056658542117686,0.17008872709337797,0.0004778583277989008,0.031022369719943897,0.02567387348274232
0.15,0.12,2,0.005363725219161676,0.17578699805968193,0.1750465954087057,0.0007404026509762129,0.03191809513582407,0.0264307702811281
0.1,0.0005,1,0.00028514689488023953,0.3789318956842658,0.3744381590294942,0.004493736654771667,0.04676455973120566,0.07804816040167528
0.1,0.0005,2,0.00016718557702095812,0.45512377760393236,0.44975733716824645,0.005366440435685981,0.06843457452350658,0.08148453570209321
0.1,0.0015,1,6.248387744011975e-05,0.3405108054656933,0.3294172744518336,0.01109353101385965,0.04735970530425604,0.06244605293545192
0.1,0.0015,2,5.997963718862275e-05,0.34639196934272803,0.33536806554653265,0.011023903796195384,0.045996413867649424,0.06579293993068365
0.1,0.001,1,4.1974123113772454e-05,0.3486598571416885,0.33674741525540747,0.011912441886280992,0.04752620570406226,0.06472293259212523
0.1,0.001,2,4.3408896116766466e-05,0.35105941390076795,0.33817321711084797,0.01288619678991996,0.04394456343605824,0.06877984205982751
0.1,0.003,1,0.00011303789440419161,0.3210707127787241,0.3138398821542344,0.00723083062448965,0.04295407119923138,0.06165922384319355
0.1,0.003,2,0.00011266307669461077,0.30654735493957874,0.2990893079325173,0.007458047007061386,0.040938247188964876,0.05875818925252641
0.1,0.005,1,0.00017777013017964072,0.2880670130924884,0.28321464362951526,0.004852369462973131,0.03936563887161872,0.05503923977706282
0.1,0.005,2,0.00017903880332335327,0.2840450524128792,0.2792613747053252,0.00478367770755398,0.03877651093086606,0.054310616171842865
0.1,0.008,1,0.000275814266257485,0.25638413168075375,0.253830942027053,0.002553189653700755,0.03533235527830688,0.04927795717039676
0.1,0.008,2,0.0002750864691916168,0.25487274036900737,0.2518544402901623,0.0030183000788450275,0.03666297124645427,0.04728851036921856
0.1,0.013,1,0.0004406431907784432,0.23512031188554572,0.2331473767273137,0.0019729351582320636,0.03341304549011566,0.044302746062379175
0.1,0.013,2,0.00044759057931137734,0.229804726481708,0.22819641019443437,0.001608316287273621,0.034334118624081006,0.04173135106876479
0.1,0.02,1,0.0007124552591616767,0.22122544944427852,0.22005052964300473,0.0011749198012737893,0.03336343386167208,0.03998674163198607
0.1,0.02,2,0.0007182978114371257,0.2172897099932797,0.21627949650749506,0.0010102134857846062,0.0317638855765612,0.04032928194453679
0.1,0.03,1,0.0011560090062874252,0.1922833277743923,0.19135848321611756,0.0009248445582747305,0.02994211333904514,0.03384404660494768
0.1,0.03,2,0.001156208655988024,0.19838080128115376,0.19776962440384588,0.0006111768773078986,0.029688601587722404,0.03623460547996125
0.1,0.05,1,0.0021736989008982036,0.1884714406627171,0.18797642491045857,0.0004950157522585502,0.03028625416122832,0.032372557086592306
0.1,0.05,2,0.0021543380386227543,0.17992402724851259,0.17964029221153835,0.000283735036974253,0.029244969875169738,0.030635127158182864
0.1,0.08,1,0.004017440397305389,0.1663707091783269,0.16619382246011713,0.00017688671820972372,0.02848346495645552,0.026914475830101606
0.1,0.08,2,0.003997348501497007,0.1762873186901207,0.17593565398022537,0.00035166470989535974,0.0295322664813644,0.029112950096619156
0.1,0.12,1,0.006766835840419162,0.16729475739807642,0.1667436162233173,0.0005511411747591529,0.029772915745253155,0.025808290023906458
0.1,0.12,2,0.006825958865568862,0.1625949554333859,0.16197852283034683,0.0006164326030390721,0.030114578163007874,0.023878262437466706
0.2,0.0005,1,3.865121046706587e-05,0.49402800544019565,0.4676741241932188,0.02635388124697693,0.06352831662276531,0.09236305790290264
0.2,0.0005,2,3.865947356586827e-05,0.47851584603078867,0.45699267857368914,0.0215231674570996,0.06691552303710008,0.08541536900717953
0.2,0.0015,1,7.956240325149701e-05,0.4600947280551366,0.42806197753754976,0.032032750517586875,0.05511557559435615,0.08757175150616345
0.2,0.0015,2,7.738843576646707e-05,0.4568810345591263,0.42491680740881144,0.03196422715031496,0.058179841781123745,0.0834590906043317
0.2,0.001,1,5.3163414955089826e-05,0.4669642293282398,0.43110026486649283,0.03586396446174697,0.057739294768423974,0.08596079350178518
0.2,0.001,2,5.646941875748503e-05,0.45179354418042034,0.4154013182209557,0.03639222595946458,0.056021769972177594,0.08244533418919658
0.2,0.003,1,0.00013689026772455092,0.4265058498388942,0.39999471976652284,0.026511130072371387,0.053291060547758035,0.08004051354528227
0.2,0.003,2,0.00013838118068862276,0.42084031665878296,0.39441160284679344,0.02642871381198953,0.049296475461475406,0.08217405778552925
0.2,0.005,1,0.000213095884251497,0.40661367360918205,0.3848285521441924,0.021785121464989534,0.051688976316190786,0.07658720613187549
0.2,0.005,2,0.00020962309221556888,0.4008780814224704,0.3790703414231079,0.021807739999362523,0.051162242587595816,0.07519453727772495
0.2,0.008,1,0.0003069560560179641,0.3779611402919426,0.3619618432386748,0.015999297053267858,0.049479884809853186,0.07117406452418171
0.2,0.008,2,0.0003025439993413174,0.3724414853347066,0.3561088350408977,0.016332650293808888,0.04783123539409212,0.07087170820075347
0.2,0.013,1,0.00045330620032934133,0.3518783273005959,0.3412432502902497,0.010635077010346144,0.04799849086339208,0.06574925885044497
0.2,0.013,2,0.00045772793323353294,0.33678664792522445,0.3261473070768832,0.010639340848341294,0.04429846955637634,0.06441729953961037
0.2,0.02,1,0.0006454485498502994,0.29819621272684377,0.29150829143564433,0.006687921291199456,0.04108023796927488,0.05608919452781465
0.2,0.02,2,0.0006657784126946108,0.30390312870356084,0.29745024944187387,0.006452879261687052,0.041451690724501854,0.0576983920684804
0.2,0.03,1,0.000950585335,0.26558245454456464,0.261823735924224,0.0037587186203406455,0.03935329246551304,0.047921285888799264
0.2,0.03,2,0.0009435377967365268,0.267110642606477,0.2636429423827409,0.0034677002237360824,0.03885365445464567,0.049027324187346524
0.2,0.05,1,0.0016409285326347306,0.23280593565099306,0.23064660420818228,0.0021593314428108258,0.03437944598848261,0.042502755766099326
0.2,0.05,2,0.0016257982910179642,0.2323654396698972,0.2306424089638363,0.001723030706060876,0.03573450957395534,0.041146292385308945
0.2,0.08,1,0.002833843603892216,0.21171479899137027,0.21087226413887986,0.0008425348524904167,0.03459174745961066,0.035699006048618094
0.2,0.08,2,0.0027935366440119762,0.20553734810206287,0.2039818651712964,0.0015554829307664916,0.03393538736116581,0.03405856596771791
0.2,0.12,1,0.004665834999401198,0.19818550360437312,0.1971923875137333,0.000993116090639805,0.03474108275927003,0.030989714109094808
0.2,0.12,2,0.0046831276952095805,0.18609787092837882,0.18460909814677826,0.0014887727816005978,0.031883440939185326,0.029652924310830314
0.3,0.0005,1,0.00010019622325748504,0.55760967349407,0.506396947054679,0.05121272643939105,0.06975589479903904,0.09904308777820019
0.3,0.0005,2,7.565337294910179e-05,0.5113322093960481,0.4743208967063357,0.03701131268971232,0.05866423651558149,0.09944272941384602
0.3,0.0015,1,9.329342985029941e-05,0.512499564609077,0.46122418047629477,0.051275384132782105,0.0647608624421789,0.08898053181010979
0.3,0.0015,2,9.218607135628742e-05,0.5039805085666703,0.4537121939547918,0.05026831461187849,0.06223640874718107,0.08900099166745029
