P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.2,0.06,3,0.10105689566910045,0.09303437554040404,0.10343429502951944,0.0006895172995432577,0.0033784709821428577
5.0,0.2,0.06,4,0.09115877755737961,0.093383872161879,0.08551762820997072,0.0004737710245852412,0.0033873682142857146
5.0,0.2,0.125,1,0.09172162759265493,0.11119174922626779,0.06377647375632756,0.001802185861456073,0.008516512778571428
5.0,0.2,0.125,2,0.08092785273974624,0.0932910882415896,0.06305889475073828,0.0017148209096099025,0.008394748453571427
5.0,0.2,0.125,3,0.09449002958724252,0.10861026238457305,0.07641231042817959,0.0007370870057030387,0.008516022685714286
5.0,0.2,0.125,4,0.07183649087220376,0.08895065189452513,0.04998978586621835,0.001491088085421129,0.008618453217857144
5.0,0.3,0.00075,1,0.38871543292945787,0.4571349056890987,0.31073064221815333,0.0014943454698549978,6.290803842857143e-05
5.0,0.3,0.00075,2,0.2227606442940256,0.15486027536827746,0.2789725907387509,0.004270106207263232,5.8178283e-05
5.0,0.3,0.00075,3,0.2501425888986107,0.22457160615480082,0.2667355730877583,0.002378512477984336,5.592451617857144e-05
5.0,0.3,0.00075,4,0.34742908390647664,0.35621993405941166,0.3213591810760273,0.007959723642311397,5.870745439285715e-05
5.0,0.3,0.0005,1,0.4245768000837605,0.5141419803728527,0.31425345614615435,0.00933260069673702,5.8648706071428584e-05
5.0,0.3,0.0005,2,0.39621871201097425,0.3907392751331447,0.3869747562142206,0.0062254485457155055,6.7261615e-05
5.0,0.3,0.0005,3,0.2993267977403697,0.23295914042328808,0.356995564283336,0.0024106598830316906,6.426327267857143e-05
5.0,0.3,0.0005,4,0.32361822632108883,0.2769796004301369,0.3590327510690895,0.005168718467523937,6.653739046428572e-05
5.0,0.3,0.0015,1,0.23987406837376307,0.16215983102630874,0.27652269750147035,0.03723444669534161,0.00010456977571428573
5.0,0.3,0.0015,2,0.25199577516857163,0.17839117269694285,0.28346253350693795,0.037953545153879706,0.00011261863392857143
5.0,0.3,0.0015,3,0.2311586590742104,0.15362898678629447,0.2705531056110423,0.03125121356237613,0.00011596806071428573
5.0,0.3,0.0015,4,0.24073436896081116,0.16228336568876206,0.2764135071972996,0.035601802440564996,0.00011553777478571427
5.0,0.3,0.0025,1,0.21702843186224213,0.14349941168001143,0.2594836020260218,0.02690024802295476,0.00016777184142857148
5.0,0.3,0.0025,2,0.23670347124042598,0.16843468836409825,0.26821424618794887,0.03286156080717198,0.00016945445499999998
5.0,0.3,0.0025,3,0.23081252842086217,0.1549491374882155,0.26878039520781505,0.030928849011051578,0.00017140168678571427
