mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.11,0.02,2,0.11524358555555556,0.0010936762814814816,0.08476804698076976,0.14214418038546975,0.003574943744871606
0.11,0.02,3,0.11342206722222219,0.0010570758335185183,0.08993116680009883,0.13459990116801404,0.0023130664763315045
0.11,0.02,4,0.12643509611111112,0.0011058065407407408,0.0936994918361771,0.15843083580476267,0.0007398645812824733
0.11,0.02,5,0.114790215,0.0010814908333333334,0.09037390231306339,0.1357232878696098,0.0034832398173268164
0.11,0.03,1,0.11671376875925923,0.0016950142037037033,0.09706851072843645,0.13911533594755177,-0.002756309157469744
0.11,0.03,2,0.12049409462962962,0.0017216681592592592,0.09197999093837445,0.1451999542379066,0.003808244082978196
0.11,0.03,3,0.12374701744444445,0.0016413430462962966,0.10130030197699857,0.1496553771759557,-0.0034616442640653666
0.11,0.03,4,0.1222250387037037,0.0017079521629629628,0.08940302696025133,0.15225217465744206,0.002794875789713991
0.11,0.03,5,0.1078483807222222,0.0016782648592592595,0.08847741337007257,0.12289908534905933,0.004320262725312524
0.12,0.0015,1,0.20625214518518517,0.00010629821968518521,0.14451854245540952,0.2523884799484071,0.015597267966553752
0.12,0.0015,2,0.2099824144444444,0.00010148759018518519,0.1522887835780526,0.2578054343413904,0.009870610969445803
0.12,0.0015,3,0.20215338296296295,0.00010516369255555554,0.13595647938196484,0.25764650330375,0.010703783240211096
0.12,0.0015,4,0.1920842222222222,0.00010255127525925928,0.1270516372338854,0.23988898083736848,0.017227826373190536
0.12,0.0015,5,0.20196977462962962,0.00010155388368518518,0.13320728931671502,0.25202389864647806,0.018708361296066178
0.12,0.001,1,0.20438272074074074,9.124216755555555e-05,0.138370764670554,0.2526503331534534,0.017744343657474015
0.12,0.001,2,0.20705767833333336,7.585746740740742e-05,0.13731125493949262,0.2629050923582388,0.013899009368935289
0.12,0.001,3,0.2060698601851852,7.597945896296298e-05,0.14457058622970298,0.2537094425015276,0.013859691639139804
0.12,0.001,4,0.19965115185185187,7.547538062962963e-05,0.13772153304212337,0.23956528849865433,0.022015482162926037
0.12,0.001,5,0.20569092703703704,7.979442781481481e-05,0.1377139153954588,0.25702374718429427,0.016644191494321003
0.12,0.003,1,0.19242937499999999,0.00018209898037037042,0.13360073204363807,0.2414597318442296,0.00979828611213232
0.12,0.003,2,0.18659830277777778,0.00018587677796296292,0.1314057905797566,0.22757081499944992,0.01421999997634904
0.12,0.003,3,0.19289703999999996,0.00018714387222222223,0.13504725503486306,0.23705773902943364,0.013689085935703255
0.12,0.003,4,0.1794960062962964,0.00019060657981481482,0.12503071892708723,0.2238673572917603,0.010093936373745255
0.12,0.003,5,0.17914101629629628,0.00018457443925925932,0.11884562250609451,0.2242858721611552,0.01515053792534285
0.12,0.005,1,0.1670455614814815,0.00028237338574074077,0.11864867389726441,0.2016348209476233,0.013807628118075288
