mu_g,Tgran,seed,chi,E
0.3,0.008,1,0.06506160095941534,100000.0
0.3,0.008,2,0.06501652137074523,100000.0
0.3,0.013,1,0.07177777987045302,100000.0
0.3,0.013,2,0.07141422982313261,100000.0
0.3,0.02,1,0.07982708964495745,100000.0
0.3,0.02,2,0.08043831002354322,100000.0
0.3,0.03,1,0.09194446115625907,100000.0
0.3,0.03,2,0.09098220826673165,100000.0
1.0,0.0005,1,0.025624324309737784,100000.0
1.0,0.0005,2,0.020833957626028254,100000.0
1.0,0.0015,1,0.028224864388795293,100000.0
1.0,0.0015,2,0.02818386304647735,100000.0
1.0,0.001,1,0.028376846485491762,100000.0
1.0,0.001,2,0.02840871167802563,100000.0
1.0,0.003,1,0.0290019034006816,100000.0
1.0,0.003,2,0.028486697530034775,100000.0
1.0,0.005,1,0.03030175220566746,100000.0
1.0,0.005,2,0.03004582610078472,100000.0
1.0,0.008,1,0.03194882301521055,100000.0
1.0,0.008,2,0.03133396018187083,100000.0
1.0,0.013,1,0.034186595139359614,100000.0
1.0,0.013,2,0.0342228767477384,100000.0
1.0,0.02,1,0.036416737397432904,100000.0
1.0,0.02,2,0.036969143416813045,100000.0
1.0,0.03,1,0.040056425133137015,100000.0
1.0,0.03,2,0.040182868004569466,100000.0
0.1,0.0005,1,0.10205564402739563,1000000.0
0.1,0.0005,2,0.13415208321039684,1000000.0
0.1,0.0015,1,0.10270610060646367,1000000.0
0.1,0.0015,2,0.10293699795558293,1000000.0
0.1,0.001,1,0.09844639281221984,1000000.0
0.1,0.001,2,0.09884348776672777,1000000.0
0.1,0.003,1,0.1176208136339298,1000000.0
0.1,0.003,2,0.11839545285250272,1000000.0
0.1,0.005,1,0.13746551850956118,1000000.0
0.1,0.005,2,0.13692392584553156,1000000.0
0.1,0.008,1,0.16307215241633502,1000000.0
0.1,0.008,2,0.1614671793668997,1000000.0
0.1,0.013,1,0.1931948453819127,1000000.0
0.1,0.013,2,0.19341583072118704,1000000.0
0.1,0.02,1,0.2260898351201817,1000000.0
0.1,0.02,2,0.22682017606996685,1000000.0
0.1,0.03,1,0.26190065304348326,1000000.0
0.1,0.03,2,0.26141987511618253,1000000.0
0.3,0.0005,1,0.059336586305809895,1000000.0
0.3,0.0005,2,0.05785223237391398,1000000.0
0.3,0.0015,1,0.054727520378219444,1000000.0
0.3,0.0015,2,0.05471214559021792,1000000.0
0.3,0.001,1,0.05514852133886246,1000000.0
0.3,0.001,2,0.05599649084608192,1000000.0
0.3,0.003,1,0.05587168917068464,1000000.0
0.3,0.003,2,0.05579500433163975,1000000.0
0.3,0.005,1,0.06096098432564123,1000000.0
0.3,0.005,2,0.059784730028301286,1000000.0
0.3,0.008,1,0.06770909510470795,1000000.0
0.3,0.008,2,0.06723171511837962,1000000.0
0.3,0.013,1,0.0777722697928425,1000000.0
0.3,0.013,2,0.07792642931201825,1000000.0
0.3,0.02,1,0.09101401409146755,1000000.0
0.3,0.02,2,0.0903484595450834,1000000.0
0.3,0.03,1,0.10664219878241951,1000000.0
0.3,0.03,2,0.10689522165397151,1000000.0
1.0,0.0005,1,0.020946354274733167,1000000.0
1.0,0.0005,2,0.020731553739157166,1000000.0
1.0,0.0015,1,0.020787825662298455,1000000.0
1.0,0.0015,2,0.02121108137428457,1000000.0
1.0,0.001,1,0.020369106637003906,1000000.0
1.0,0.001,2,0.021067279973719464,1000000.0
1.0,0.003,1,0.02247803294490627,1000000.0
1.0,0.003,2,0.022368226884728247,1000000.0
1.0,0.005,1,0.02363380633518904,1000000.0
1.0,0.005,2,0.024272413418125117,1000000.0
1.0,0.008,1,0.026667320109174032,1000000.0
1.0,0.008,2,0.026232917000942053,1000000.0
1.0,0.013,1,0.0294252142970781,1000000.0
1.0,0.013,2,0.029736580262915136,1000000.0
1.0,0.02,1,0.033646012496773736,1000000.0
1.0,0.02,2,0.034122532310823496,1000000.0
1.0,0.03,1,0.03847173279997949,1000000.0
1.0,0.03,2,0.03861650157557936,1000000.0
0.1,0.0005,1,0.11488787174181192,30000.0
0.1,0.0005,2,0.09836404102890535,30000.0
0.1,0.0015,1,0.09260956743924385,30000.0
0.1,0.0015,2,0.09267768038143787,30000.0
0.1,0.001,1,0.09201437834228411,30000.0
0.1,0.001,2,0.0896953841945278,30000.0
0.1,0.003,1,0.10079210052688997,30000.0
0.1,0.003,2,0.10079299197279568,30000.0
0.1,0.005,1,0.1137789212712842,30000.0
0.1,0.005,2,0.11350611154873178,30000.0
0.1,0.008,1,0.12710722255237086,30000.0
0.1,0.008,2,0.1288755693782194,30000.0
0.1,0.013,1,0.150495636085986,30000.0
0.1,0.013,2,0.1477017956634841,30000.0
0.1,0.02,1,0.17443040680183816,30000.0
0.1,0.02,2,0.17327152096275034,30000.0
0.1,0.03,1,0.20133292980148593,30000.0
0.1,0.03,2,0.1994727954990057,30000.0
0.3,0.0005,1,0.06277707649585737,30000.0
0.3,0.0005,2,0.05470599117946679,30000.0
0.3,0.0015,1,0.06581237898917072,30000.0
0.3,0.0015,2,0.06625109288383425,30000.0
0.3,0.001,1,0.06650243621022162,30000.0
0.3,0.001,2,0.06837001651306522,30000.0
0.3,0.003,1,0.06529304956589049,30000.0
