mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon,E
0.3,0.0005,2,7.565337294910179e-05,0.5048510897612163,0.036012695897371466,0.05808760163684466,0.09819186197441734,0.035386898018683055,10.0581775087547,0.8570418170000578,0.5768348649332189,10237.4,100000.0
0.3,0.0015,1,9.329342985029941e-05,0.5143700286078263,0.051038907252002254,0.06488740156020181,0.0895563061575331,0.05314526308392601,10.187979722951999,0.8912625240069071,0.557322231249782,9851.1,100000.0
0.3,0.0015,2,9.218607135628742e-05,0.5076781765316204,0.051090393898653885,0.06269963701875432,0.08949629248627886,0.05315561066484901,10.343687887433626,0.9002792621695359,0.5523679679370982,9892.2,100000.0
0.3,0.001,1,6.754900794011977e-05,0.5242223195433747,0.053079202835311354,0.06514806444680782,0.09189964085285778,0.054617877609470344,10.346708538095854,0.8856073018742171,0.5604658509802849,9807.7,100000.0
0.3,0.001,2,7.198735069760479e-05,0.5075503400298595,0.053047344206371375,0.06345589579134313,0.08804510432606297,0.05539865617755478,10.433365563086301,0.8901100997759828,0.5579868451106988,9683.1,100000.0
0.3,0.003,1,0.00016767661449101795,0.4890833697717924,0.0471154382578846,0.05972590575085039,0.08759673792247127,0.05646861630786652,10.016827486151334,0.8901163830008999,0.5580161656021716,10079.6,100000.0
0.3,0.003,2,0.00017396984215568866,0.49534818614177584,0.045118039233719,0.06026386291416469,0.08981285314087646,0.05923665893484774,10.033943976709459,0.8987262007044178,0.5531962363869368,10039.5,100000.0
0.3,0.005,1,0.00024758245889221556,0.47112280024022707,0.039416886643670906,0.057678697986059346,0.0862232721750923,0.06317328962338561,9.741304695655272,0.8884113663077379,0.5589108780860763,10270.6,100000.0
0.3,0.005,2,0.00024365174511976046,0.46666140009472157,0.03973474675048129,0.05681028887048016,0.08549859402480227,0.06270609991722144,9.710404586593933,0.8923477259901109,0.5567505179254536,10288.1,100000.0
0.3,0.008,1,0.0003626934544011976,0.44270449516094246,0.03414802359170005,0.05403094192702128,0.08215454675420872,0.07033939446948204,9.432866128497825,0.8759345801874622,0.5658823164758469,10519.6,100000.0
0.3,0.008,2,0.0003756238039820359,0.4449499568007259,0.033028566175502226,0.05494303220233905,0.08236409884032543,0.07344389008135756,9.583144978494516,0.888509210118411,0.5588585280373678,10473.8,100000.0
0.3,0.013,1,0.0005276291430838323,0.4131255876689324,0.024885599638481096,0.05221490044388263,0.07719842823296957,0.0827787108701391,9.280808017897945,0.8692146520949542,0.5696486354966913,10794.7,100000.0
0.3,0.013,2,0.0005198430899700599,0.41493283457439023,0.025478912961172263,0.05344052939814732,0.07637744519958108,0.08297808312462038,9.277465909508834,0.8686919038334977,0.5699455014152036,10788.1,100000.0
0.3,0.02,1,0.00073449495751497,0.3866585806786363,0.018367942976568085,0.05050453077765613,0.07225901523527355,0.09674473549699136,9.009315522151152,0.8458386781500515,0.582963584623674,11044.6,100000.0
0.3,0.02,2,0.0007370109808982037,0.3750616888182649,0.019375660516655235,0.049239725391470736,0.06932228531146079,0.09754885818060222,9.079312791464758,0.8420101426604191,0.5851751826967647,11042.1,100000.0
0.3,0.03,1,0.0010100710326946107,0.3351019350925498,0.011608583932134145,0.04573817585835541,0.06209293965188132,0.1151067284239361,8.845608555706264,0.8214347940467139,0.59711235076323,11297.6,100000.0
0.3,0.03,2,0.0010252188981736527,0.33779496287882504,0.011264176888037374,0.04676389316256936,0.062079701538445956,0.11511586068744246,8.847144814146892,0.8208911530283782,0.5974470175666318,11247.7,100000.0
0.3,0.05,1,0.001617126144011976,0.2789815132057405,0.006113744830858438,0.04078016636003785,0.050175756724010666,0.14434152657826252,8.67809640784704,0.7872841415336803,0.6173596892163965,11481.3,100000.0
0.3,0.05,2,0.0015879897059880238,0.28708683857731965,0.005118925252009348,0.04144432555078695,0.052544980589618664,0.14558040651910845,8.661490724314982,0.7838905999918799,0.6194094692354998,11497.2,100000.0
0.3,0.08,1,0.002497010274550898,0.234675705878649,0.0031339857600103703,0.03716046426336859,0.04002010837062263,0.18156460696072876,8.538703992577119,0.766989001106202,0.6296239235868761,11516.3,100000.0
0.3,0.08,2,0.0025240373311377247,0.25162098628454765,0.0027236589007372304,0.039849292558495376,0.043116484736048635,0.1778106599742902,8.664643423603453,0.7659849734621409,0.6302303823109588,11530.3,100000.0
0.3,0.12,1,0.003922098186826347,0.22022172654219468,0.0023087618177763678,0.037249468546931605,0.03538818643827483,0.21712764829005882,8.73242960207152,0.7614428983076078,0.6330017981475867,11348.1,100000.0
0.3,0.12,2,0.004009953077245509,0.2208243493289464,0.001596731084291917,0.0357568318715618,0.03731903897770657,0.2182537740207336,8.77797682517714,0.7629291271066696,0.6321002459264891,11314.0,100000.0
1.0,0.0005,1,8.496855866766468e-05,0.5923747482402315,0.10821672587374942,0.07541634416496783,0.08596966335888558,0.022932634781072346,13.193973023560272,0.8656998452377829,0.571631977572971,7779.0,100000.0
1.0,0.0005,2,8.696558218562874e-05,0.5562252771622839,0.09724929629649628,0.0723504361281719,0.08064155778268625,0.02081781202877286,13.297596199815667,0.8544589439146577,0.5780105246831969,7774.7,100000.0
